id,Code_BuildingVariant,Remark_BuildingVariant_1,Remark_BuildingVariant_2,Date_Entry,Date_Change,Code_StatusDataset,Code_Country,Number_BuildingVariant,Code_TypeVariant,Code_Building,Description_BuildingVariant,Description_BuildingVariant_National,Code_BuildingType,Code_DataType_Building,Code_BuildingSizeClass,Code_ConstructionYearClass,Year1_Building,Year2_Building,Code_UtilisationType,V_C,A_C_National,A_C_ExtDim,A_C_IntDim,A_C_Use,A_C_Living,A_C_Ref_Input,n_Apartment,n_Storey,Code_RoofType_val_data,Code_RoofType,Code_AtticCond_val_data,Code_AtticCond,Code_CellarCond_val_data,Code_CellarCond,Code_AttachedNeighbours_val_data,Code_AttachedNeighbours,A_SolarPotential_1,Code_Orientation_SolarPotential_1,Inclination_SolarPotential_1,A_SolarPotential_2,Code_Orientation_SolarPotential_2,Inclination_SolarPotential_2,Code_ComplexFootprint_val_data,Code_ComplexFootprint,Code_ComplexRoof_val_data,Code_ComplexRoof,h_Ceiling,A_Roof_1,A_Roof_2,A_Wall_1,A_Wall_2,A_Wall_3,A_Floor_1,A_Floor_2,A_Window_1,A_Window_2,A_Door_1,A_Window_Horizontal,A_Window_East,A_Window_South,A_Window_West,A_Window_North,Code_TypeIntake_EnvelopeArea_val_data,Code_TypeIntake_EnvelopeArea,f_Corr_CeilingHeight,f_PlausiCrit_EnvSum_LowerLimit,f_PlausiCrit_EnvSum_UpperLimit,f_PlausiCrit_FloorArea_LowerLimit,f_PlausiCrit_FloorArea_UpperLimit,f_PlausiCrit_WindowArea_LowerLimit,f_PlausiCrit_WindowArea_UpperLimit,Code_ThermalBridging_Original,Code_ThermalBridging_Refurbished,Code_Infiltration_Actual,Code_Roof_1,Code_Roof_2,Code_Wall_1,Code_Wall_2,Code_Wall_3,Code_Floor_1,Code_Floor_2,Code_Window_1,Code_Window_2,Code_Door_1,Code_ConstructionBorder_Roof_1,Code_ConstructionBorder_Roof_2,Code_ConstructionBorder_Wall_1,Code_ConstructionBorder_Wall_2,Code_ConstructionBorder_Wall_3,Code_ConstructionBorder_Floor_1,Code_ConstructionBorder_Floor_2,delta_U_ThermalBridging_Original,delta_U_ThermalBridging_Refurbished,n_air_infiltration,U_Roof_1,U_Roof_2,U_Wall_1,U_Wall_2,U_Wall_3,U_Floor_1,U_Floor_2,U_Window_1,U_Window_2,U_Door_1,g_gl_n_Window_1,g_gl_n_Window_2,d_Insulation_Roof_1,d_Insulation_Roof_2,d_Insulation_Wall_1,d_Insulation_Wall_2,d_Insulation_Wall_3,d_Insulation_Floor_1,d_Insulation_Floor_2,R_Add_UnheatedSpace_Roof_1,R_Add_UnheatedSpace_Roof_2,R_Add_UnheatedSpace_Wall_1,R_Add_UnheatedSpace_Wall_2,R_Add_UnheatedSpace_Wall_3,R_Add_UnheatedSpace_Floor_1,R_Add_UnheatedSpace_Floor_2,b_Transmission_Roof_1,b_Transmission_Roof_2,b_Transmission_Wall_1,b_Transmission_Wall_2,b_Transmission_Wall_3,b_Transmission_Floor_1,b_Transmission_Floor_2,Code_Measure_Roof_1,Code_Measure_Roof_2,Code_Measure_Wall_1,Code_Measure_Wall_2,Code_Measure_Wall_3,Code_Measure_Floor_1,Code_Measure_Floor_2,Code_Measure_Window_1,Code_Measure_Window_2,Code_Measure_Door_1,R_PredefinedMeasure_Roof_1,R_PredefinedMeasure_Roof_2,R_PredefinedMeasure_Wall_1,R_PredefinedMeasure_Wall_2,R_PredefinedMeasure_Wall_3,R_PredefinedMeasure_Floor_1,R_PredefinedMeasure_Floor_2,R_PredefinedMeasure_Window_1,R_PredefinedMeasure_Window_2,R_PredefinedMeasure_Door_1,g_gl_n_PredefinedMeasure_Window_1,g_gl_n_PredefinedMeasure_Window_2,d_Insulation_PredefinedMeasure_Roof_1,d_Insulation_PredefinedMeasure_Roof_2,d_Insulation_PredefinedMeasure_Wall_1,d_Insulation_PredefinedMeasure_Wall_2,d_Insulation_PredefinedMeasure_Wall_3,d_Insulation_PredefinedMeasure_Floor_1,d_Insulation_PredefinedMeasure_Floor_2,d_Insulation_Input_Measure_Roof_1,d_Insulation_Input_Measure_Roof_2,d_Insulation_Input_Measure_Wall_1,d_Insulation_Input_Measure_Wall_2,d_Insulation_Input_Measure_Wall_3,d_Insulation_Input_Measure_Floor_1,d_Insulation_Input_Measure_Floor_2,Code_MeasureType_Roof_1_val_data,Code_MeasureType_Roof_1,Code_MeasureType_Roof_2_val_data,Code_MeasureType_Roof_2,Code_MeasureType_Wall_1_val_data,Code_MeasureType_Wall_1,Code_MeasureType_Wall_2_val_data,Code_MeasureType_Wall_2,Code_MeasureType_Wall_3_val_data,Code_MeasureType_Wall_3,Code_MeasureType_Floor_1_val_data,Code_MeasureType_Floor_1,Code_MeasureType_Floor_2_val_data,Code_MeasureType_Floor_2,Code_MeasureType_Window_1_val_data,Code_MeasureType_Window_1,Code_MeasureType_Window_2_val_data,Code_MeasureType_Window_2,Code_MeasureType_Door_1_val_data,Code_MeasureType_Door_1,f_Measure_Roof_1,f_Measure_Roof_2,f_Measure_Wall_1,f_Measure_Wall_2,f_Measure_Wall_3,f_Measure_Floor_1,f_Measure_Floor_2,f_Measure_Window_1,f_Measure_Window_2,f_Measure_Door_1,Code_ClimateRegion,Name_ClimateRegion,HeatingDays,Theta_e_Base,Theta_e,I_Sol_Hor,I_Sol_East,I_Sol_South,I_Sol_West,I_Sol_North,Code_BoundaryCond,theta_i,F_red_htr1,F_red_htr4,n_air_use,h_room,phi_int,q_w_nd,F_sh_hor,F_sh_vert,F_f,F_w,c_m
1,PL.N.AB.03.Gen.ReEx.001.001,0,0,2010-01-18,,Typology,PL,1,Refurbishment,PL.N.AB.03.Gen.ReEx.001,0,0,PL.N.AB.03.Gen,ReEx,AB,PL.03,1967,1985,Apartment,17893,4995,4995,0,0,4595,0,98,11,,FR,,N,,N,,B_Alone,0,0,0,0,0,0,,0,,0,0,543,0,2729,0,0,416,0,1284,0,4.5,0,355,341,285,303,,Manual,1,0.8,1.25,0.9,1.3,0.67,1.5,Medium,0,Medium,DE.Roof.SyAv.09.01,0,PL.Wall.ReEx.03.03,0,0,PL.Floor.ReEx.03.02,0,PL.Window.ReEx.03.01,0,PL.Door.ReEx.03.01,,,,,,,,0.1,0,0.2,0.33,0,1.3,0,0,1.3,0,2.6,0,4,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,1,0,1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,1,1,1,1,1,1,1,1,1,1,PL.N,country,242,12,2.8,647,462,560,448,391,EU.MUH,20,0.95,0.85,0.4,2.5,3,15,0.8,0.6,0.3,0.9,45
2,PL.N.AB.03.Gen.ReEx.001.002,0,0,2010-01-18,,Typology,PL,2,Refurbishment,PL.N.AB.03.Gen.ReEx.001,0,0,PL.N.AB.03.Gen,ReEx,AB,PL.03,1967,1985,Apartment,17893,4995,4995,0,0,4595,0,98,11,,FR,,N,,N,,B_Alone,0,0,0,0,0,0,,0,,0,0,543,0,2729,0,0,416,0,1284,0,4.5,0,355,341,285,303,,Manual,1,0.8,1.25,0.9,1.3,0.67,1.5,Medium,Low,Low,DE.Roof.SyAv.09.01,0,PL.Wall.ReEx.03.03,0,0,PL.Floor.ReEx.03.02,0,PL.Window.ReEx.03.01,0,PL.Door.ReEx.03.01,,,,,,,,0.1,0.05,0.1,0.33,0,1.3,0,0,1.3,0,2.6,0,4,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,1,0,1,0,0,0.5,0,PL.Roof.Insulation20cm.01,0,PL.Wall.foamed polistyrene 16  cm.01,0,0,PL.Floor.Insulation06cm.01,0,"PL.Window.plastic, double glazed.01",0,PL.Door.Low_E.01,5.714286,0,4,0,0,1.7142857,0,0.6666667,0,0.7692308,0.7,0,0.2,0,0.16,0,0,0.06,0,0,0,0,0,0,0,0,,Add,,Add,,Add,,Add,,Add,,Add,,Add,,Replace,,Replace,,Replace,1,1,1,1,1,1,1,1,1,1,PL.N,country,242,12,2.8,647,462,560,448,391,EU.MUH,20,0.95,0.85,0.4,2.5,3,15,0.8,0.6,0.3,0.9,45
3,PL.N.AB.03.Gen.ReEx.001.003,0,0,2010-01-18,,Typology,PL,3,Refurbishment,PL.N.AB.03.Gen.ReEx.001,0,0,PL.N.AB.03.Gen,ReEx,AB,PL.03,1967,1985,Apartment,17893,4995,4995,0,0,4595,0,98,11,,FR,,N,,N,,B_Alone,0,0,0,0,0,0,,0,,0,0,543,0,2729,0,0,416,0,1284,0,4.5,0,355,341,285,303,,Manual,1,0.8,1.25,0.9,1.3,0.67,1.5,Medium,Minimal,Minimal,DE.Roof.SyAv.09.01,0,PL.Wall.ReEx.03.03,0,0,PL.Floor.ReEx.03.02,0,PL.Window.ReEx.03.01,0,PL.Door.ReEx.03.01,,,,,,,,0.1,0,0.05,0.33,0,1.3,0,0,1.3,0,2.6,0,4,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,1,0,1,0,0,0.5,0,PL.Roof.Insulation30cm.01,0,PL.Wall.foamed polistyrene 18  cm.01,0,0,PL.Floor.Insulation12cm.01,0,"PL.Window.plastic, triple glazed.01",0,PL.Door.Low_E.01,8.571428,0,4.5,0,0,3.4285715,0,0.8333333,0,0.7692308,0.7,0,0.3,0,0.18,0,0,0.12,0,0,0,0,0,0,0,0,,Add,,Add,,Add,,Add,,Add,,Add,,Add,,Replace,,Replace,,Replace,1,1,1,1,1,1,1,1,1,1,PL.N,country,242,12,2.8,647,462,560,448,391,EU.MUH,20,0.95,0.85,0.4,2.5,3,15,0.8,0.6,0.3,0.9,45
4,PL.N.AB.04.Gen.ReEx.001.001,0,0,2010-01-18,,Typology,PL,1,Refurbishment,PL.N.AB.04.Gen.ReEx.001,0,0,PL.N.AB.04.Gen,ReEx,AB,PL.04,1986,1992,Apartment,15006,3949,3949,0,0,3680,0,80,11,,FR,,N,,N,,B_Alone,0,0,0,0,0,0,,0,,0,0,430,0,2302,0,0,366,0,762,0,4.4,0,192,192,189,189,,Manual,1,0.8,1.25,0.9,1.3,0.67,1.5,Medium,0,Medium,PL.Roof.ReEx.01.02,0,PL.Wall.ReEx.04.03,0,0,PL.Floor.ReEx.04.02,0,PL.Window.ReEx.04.01,0,PL.Door.ReEx.04.01,,,,,,,,0.1,0,0.2,0.9,0,1.3,0,0,1.1,0,2.6,0,3.6,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,1,0,1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,1,1,1,1,1,1,1,1,1,1,PL.N,country,242,12,2.8,647,462,560,448,391,EU.MUH,20,0.95,0.85,0.4,2.5,3,15,0.8,0.6,0.3,0.9,45
5,PL.N.AB.04.Gen.ReEx.001.002,0,0,2010-01-18,,Typology,PL,2,Refurbishment,PL.N.AB.04.Gen.ReEx.001,0,0,PL.N.AB.04.Gen,ReEx,AB,PL.04,1986,1992,Apartment,15006,3949,3949,0,0,3680,0,80,11,,FR,,N,,N,,B_Alone,0,0,0,0,0,0,,0,,0,0,430,0,2302,0,0,366,0,762,0,4.4,0,192,192,189,189,,Manual,1,0.8,1.25,0.9,1.3,0.67,1.5,Medium,Low,Low,PL.Roof.ReEx.01.02,0,PL.Wall.ReEx.04.03,0,0,PL.Floor.ReEx.04.02,0,PL.Window.ReEx.04.01,0,PL.Door.ReEx.04.01,,,,,,,,0.1,0.05,0.1,0.9,0,1.3,0,0,1.1,0,2.6,0,3.6,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,1,0,1,0,0,0.5,0,PL.Roof.Insulation20cm.01,0,PL.Wall.foamed polistyrene 16  cm.01,0,0,PL.Floor.Insulation06cm.01,0,"PL.Window.plastic, double glazed.01",0,PL.Door.Low_E.01,5.714286,0,4,0,0,1.7142857,0,0.6666667,0,0.7692308,0.7,0,0.2,0,0.16,0,0,0.06,0,0,0,0,0,0,0,0,,Add,,Add,,Add,,Add,,Add,,Add,,Add,,Replace,,Replace,,Replace,1,1,1,1,1,1,1,1,1,1,PL.N,country,242,12,2.8,647,462,560,448,391,EU.MUH,20,0.95,0.85,0.4,2.5,3,15,0.8,0.6,0.3,0.9,45
6,PL.N.AB.04.Gen.ReEx.001.003,0,0,2010-01-18,,Typology,PL,3,Refurbishment,PL.N.AB.04.Gen.ReEx.001,0,0,PL.N.AB.04.Gen,ReEx,AB,PL.04,1986,1992,Apartment,15006,3949,3949,0,0,3680,0,80,11,,FR,,N,,N,,B_Alone,0,0,0,0,0,0,,0,,0,0,430,0,2302,0,0,366,0,762,0,4.4,0,192,192,189,189,,Manual,1,0.8,1.25,0.9,1.3,0.67,1.5,Medium,Minimal,Minimal,PL.Roof.ReEx.01.02,0,PL.Wall.ReEx.04.03,0,0,PL.Floor.ReEx.04.02,0,PL.Window.ReEx.04.01,0,PL.Door.ReEx.04.01,,,,,,,,0.1,0,0.05,0.9,0,1.3,0,0,1.1,0,2.6,0,3.6,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,1,0,1,0,0,0.5,0,PL.Roof.Insulation30cm.01,0,PL.Wall.foamed polistyrene 18  cm.01,0,0,PL.Floor.Insulation12cm.01,0,"PL.Window.plastic, triple glazed.01",0,PL.Door.Low_E.01,8.571428,0,4.5,0,0,3.4285715,0,0.8333333,0,0.7692308,0.7,0,0.3,0,0.18,0,0,0.12,0,0,0,0,0,0,0,0,,Add,,Add,,Add,,Add,,Add,,Add,,Add,,Replace,,Replace,,Replace,1,1,1,1,1,1,1,1,1,1,PL.N,country,242,12,2.8,647,462,560,448,391,EU.MUH,20,0.95,0.85,0.4,2.5,3,15,0.8,0.6,0.3,0.9,45
7,PL.N.AB.05.Gen.ReEx.001.001,0,0,2010-01-18,,Typology,PL,1,Variation,PL.N.AB.05.Gen.ReEx.001,0,0,PL.N.AB.05.Gen,ReEx,AB,PL.05,1993,2002,Apartment,24196,6299,6299,0,0,5523,0,139,13,,FR,,N,,C,,B_Alone,0,0,0,0,0,0,,0,,0,0,647,0,2997,0,0,543,0,1253,0,4.5,0,334,292.5,292.5,334,,Manual,1,0.8,1.25,0.9,1.3,0.67,1.5,Medium,0,Medium,PL.Roof.ReEx.02.02,0,PL.Wall.ReEx.05.03,0,0,PL.Floor.ReEx.05.02,0,PL.Window.ReEx.05.02,0,PL.Door.ReEx.05.02,,,,,,,,0.1,0,0.2,0.5,0,0.18,0,0,0.8,0,1.6,0,2.5,0.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,1,0,1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,1,1,1,1,1,1,1,1,1,1,PL.N,country,242,12,2.8,647,462,560,448,391,EU.MUH,20,0.95,0.85,0.4,2.5,3,15,0.8,0.6,0.3,0.9,45
8,PL.N.AB.05.Gen.ReEx.001.002,0,0,2010-01-18,,Typology,PL,2,Variation,PL.N.AB.05.Gen.ReEx.001,0,0,PL.N.AB.05.Gen,ReEx,AB,PL.05,1993,2002,Apartment,24196,6299,6299,0,0,5523,0,139,13,,FR,,N,,C,,B_Alone,0,0,0,0,0,0,,0,,0,0,647,0,2997,0,0,543,0,1253,0,4.5,0,334,292.5,292.5,334,,Manual,1,0.8,1.25,0.9,1.3,0.67,1.5,Medium,Low,Low,PL.Roof.ReEx.02.02,0,PL.Wall.ReEx.05.03,0,0,PL.Floor.ReEx.05.02,0,PL.Window.ReEx.05.02,0,PL.Door.ReEx.05.02,,,,,,,,0.1,0.05,0.1,0.5,0,0.18,0,0,0.8,0,1.6,0,2.5,0.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,1,0,1,0,0,0.5,0,PL.Roof.Insulation20cm.01,0,PL.Wall.foamed polistyrene 16  cm.01,0,0,PL.Floor.Insulation06cm.01,0,"PL.Window.plastic, double glazed.01",0,PL.Door.Low_E.01,5.714286,0,4,0,0,1.7142857,0,0.6666667,0,0.7692308,0.7,0,0.2,0,0.16,0,0,0.06,0,0,0,0,0,0,0,0,,Add,,Add,,Add,,Add,,Add,,Add,,Add,,Replace,,Replace,,Replace,1,1,1,1,1,1,1,1,1,1,PL.N,country,242,12,2.8,647,462,560,448,391,EU.MUH,20,0.95,0.85,0.4,2.5,3,15,0.8,0.6,0.3,0.9,45
9,PL.N.AB.05.Gen.ReEx.001.003,0,0,2010-01-18,,Typology,PL,3,Variation,PL.N.AB.05.Gen.ReEx.001,0,0,PL.N.AB.05.Gen,ReEx,AB,PL.05,1993,2002,Apartment,24196,6299,6299,0,0,5523,0,139,13,,FR,,N,,C,,B_Alone,0,0,0,0,0,0,,0,,0,0,647,0,2997,0,0,543,0,1253,0,4.5,0,334,292.5,292.5,334,,Manual,1,0.8,1.25,0.9,1.3,0.67,1.5,Medium,Minimal,Minimal,PL.Roof.ReEx.02.02,0,PL.Wall.ReEx.05.03,0,0,PL.Floor.ReEx.05.02,0,PL.Window.ReEx.05.02,0,PL.Door.ReEx.05.02,,,,,,,,0.1,0,0.05,0.5,0,0.18,0,0,0.8,0,1.6,0,2.5,0.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,1,0,1,0,0,0.5,0,PL.Roof.Insulation30cm.01,0,PL.Wall.foamed polistyrene 18  cm.01,0,0,PL.Floor.Insulation12cm.01,0,"PL.Window.plastic, triple glazed.01",0,PL.Door.Low_E.01,8.571428,0,4.5,0,0,3.4285715,0,0.8333333,0,0.7692308,0.7,0,0.3,0,0.18,0,0,0.12,0,0,0,0,0,0,0,0,,Add,,Add,,Add,,Add,,Add,,Add,,Add,,Replace,,Replace,,Replace,1,1,1,1,1,1,1,1,1,1,PL.N,country,242,12,2.8,647,462,560,448,391,EU.MUH,20,0.95,0.85,0.4,2.5,3,15,0.8,0.6,0.3,0.9,45
10,PL.N.AB.06.Gen.ReEx.001.001,0,0,2010-01-18,,Typology,PL,1,Variation,PL.N.AB.06.Gen.ReEx.001,0,0,PL.N.AB.06.Gen,ReEx,AB,PL.06,2003,2008,Apartment,23141,6171,6171,0,0,5632,0,121,11,,FR,,N,,C,,B_Alone,0,0,0,0,0,0,,0,,0,0,662,0,3507,0,0,565,0,1051,0,4.2,0,259,246,266,280,,Manual,1,0.8,1.25,0.9,1.3,0.67,1.5,Medium,0,Medium,PL.Roof.ReEx.03.01,0,PL.Wall.ReEx.06.01,0,0,PL.Floor.ReEx.06.02,0,PL.Window.ReEx.06.02,0,PL.Door.ReEx.06.02,,,,,,,,0.1,0,0.2,0.6,0,0.19,0,0,0.6,0,1.5,0,1.8,0.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,1,0,1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,1,1,1,1,1,1,1,1,1,1,PL.N,country,242,12,2.8,647,462,560,448,391,EU.MUH,20,0.95,0.85,0.4,2.5,3,15,0.8,0.6,0.3,0.9,45
11,PL.N.AB.06.Gen.ReEx.001.002,0,0,2010-01-18,,Typology,PL,2,Variation,PL.N.AB.06.Gen.ReEx.001,0,0,PL.N.AB.06.Gen,ReEx,AB,PL.06,2003,2008,Apartment,23141,6171,6171,0,0,5632,0,121,11,,FR,,N,,C,,B_Alone,0,0,0,0,0,0,,0,,0,0,662,0,3507,0,0,565,0,1051,0,4.2,0,259,246,266,280,,Manual,1,0.8,1.25,0.9,1.3,0.67,1.5,Medium,Low,Low,PL.Roof.ReEx.03.01,0,PL.Wall.ReEx.06.01,0,0,PL.Floor.ReEx.06.02,0,PL.Window.ReEx.06.02,0,PL.Door.ReEx.06.02,,,,,,,,0.1,0.05,0.1,0.6,0,0.19,0,0,0.6,0,1.5,0,1.8,0.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,1,0,1,0,0,0.5,0,PL.Roof.Insulation20cm.01,0,PL.Wall.foamed polistyrene 14  cm.01,0,0,PL.Floor.Insulation06cm.01,0,"PL.Window.plastic, double glazed.01",0,PL.Door.Low_E.01,5.714286,0,3.5,0,0,1.7142857,0,0.6666667,0,0.7692308,0.7,0,0.2,0,0.14,0,0,0.06,0,0,0,0,0,0,0,0,,Add,,Add,,Add,,Add,,Add,,Add,,Add,,Replace,,Replace,,Replace,1,1,1,1,1,1,1,1,1,1,PL.N,country,242,12,2.8,647,462,560,448,391,EU.MUH,20,0.95,0.85,0.4,2.5,3,15,0.8,0.6,0.3,0.9,45
12,PL.N.AB.06.Gen.ReEx.001.003,0,0,2010-01-18,,Typology,PL,3,Variation,PL.N.AB.06.Gen.ReEx.001,0,0,PL.N.AB.06.Gen,ReEx,AB,PL.06,2003,2008,Apartment,23141,6171,6171,0,0,5632,0,121,11,,FR,,N,,C,,B_Alone,0,0,0,0,0,0,,0,,0,0,662,0,3507,0,0,565,0,1051,0,4.2,0,259,246,266,280,,Manual,1,0.8,1.25,0.9,1.3,0.67,1.5,Medium,Minimal,Minimal,PL.Roof.ReEx.03.01,0,PL.Wall.ReEx.06.01,0,0,PL.Floor.ReEx.06.02,0,PL.Window.ReEx.06.02,0,PL.Door.ReEx.06.02,,,,,,,,0.1,0,0.05,0.6,0,0.19,0,0,0.6,0,1.5,0,1.8,0.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,1,0,1,0,0,0.5,0,PL.Roof.Insulation30cm.01,0,PL.Wall.foamed polistyrene 16  cm.01,0,0,PL.Floor.Insulation12cm.01,0,"PL.Window.plastic, triple glazed.01",0,PL.Door.Low_E.01,8.571428,0,4,0,0,3.4285715,0,0.8333333,0,0.7692308,0.7,0,0.3,0,0.16,0,0,0.12,0,0,0,0,0,0,0,0,,Add,,Add,,Add,,Add,,Add,,Add,,Add,,Replace,,Replace,,Replace,1,1,1,1,1,1,1,1,1,1,PL.N,country,242,12,2.8,647,462,560,448,391,EU.MUH,20,0.95,0.85,0.4,2.5,3,15,0.8,0.6,0.3,0.9,45
13,PL.N.AB.07.Gen.ReEx.001.001,0,0,2010-01-18,,Typology,PL,1,Variation,PL.N.AB.07.Gen.ReEx.001,0,0,PL.N.AB.07.Gen,ReEx,AB,PL.07,2009,9999,Apartment,64548,16137,16137,0,0,14555,0,333,11,,FR,,N,,C,,B_Alone,0,0,0,0,0,0,,0,,0,0,1618,0,7244,0,0,1480,0,3718,0,13.2,0,1072,1070,788,788,,Manual,1,0.8,1.25,0.9,1.3,0.67,1.5,High,0,High,PL.Roof.ReEx.04.01,0,PL.Wall.ReEx.07.01,0,0,PL.Floor.ReEx.07.02,0,PL.Window.ReEx.07.02,0,PL.Door.ReEx.07.02,,,,,,,,0.15,0,0.4,0.5,0,0.19,0,0,0.5,0,1.4,0,1.7,0.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,1,0,1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,1,1,1,1,1,1,1,1,1,1,PL.N,country,242,12,2.8,647,462,560,448,391,EU.MUH,20,0.95,0.85,0.4,2.5,3,15,0.8,0.6,0.3,0.9,45
14,PL.N.AB.07.Gen.ReEx.001.002,0,0,2010-01-18,,Typology,PL,2,Variation,PL.N.AB.07.Gen.ReEx.001,0,0,PL.N.AB.07.Gen,ReEx,AB,PL.07,2009,9999,Apartment,64548,16137,16137,0,0,14555,0,333,11,,FR,,N,,C,,B_Alone,0,0,0,0,0,0,,0,,0,0,1618,0,7244,0,0,1480,0,3718,0,13.2,0,1072,1070,788,788,,Manual,1,0.8,1.25,0.9,1.3,0.67,1.5,High,Medium,Medium,PL.Roof.ReEx.04.01,0,PL.Wall.ReEx.07.01,0,0,PL.Floor.ReEx.07.02,0,PL.Window.ReEx.07.02,0,PL.Door.ReEx.07.02,,,,,,,,0.15,0.1,0.2,0.5,0,0.19,0,0,0.5,0,1.4,0,1.7,0.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,1,0,1,0,0,0.5,0,PL.Roof.Insulation16cm.01,0,PL.Wall.foamed polistyrene 12  cm.01,0,0,PL.Floor.Insulation06cm.01,0,"PL.Window.plastic, double glazed.01",0,PL.Door.Low_E.01,4.571429,0,3,0,0,1.7142857,0,0.6666667,0,0.7692308,0.7,0,0.16,0,0.12,0,0,0.06,0,0,0,0,0,0,0,0,,Add,,Add,,Add,,Add,,Add,,Add,,Add,,Replace,,Replace,,Replace,1,1,1,1,1,1,1,1,1,1,PL.N,country,242,12,2.8,647,462,560,448,391,EU.MUH,20,0.95,0.85,0.4,2.5,3,15,0.8,0.6,0.3,0.9,45
15,PL.N.AB.07.Gen.ReEx.001.003,0,0,2010-01-18,,Typology,PL,3,Variation,PL.N.AB.07.Gen.ReEx.001,0,0,PL.N.AB.07.Gen,ReEx,AB,PL.07,2009,9999,Apartment,64548,16137,16137,0,0,14555,0,333,11,,FR,,N,,C,,B_Alone,0,0,0,0,0,0,,0,,0,0,1618,0,7244,0,0,1480,0,3718,0,13.2,0,1072,1070,788,788,,Manual,1,0.8,1.25,0.9,1.3,0.67,1.5,High,Low,Low,PL.Roof.ReEx.04.01,0,PL.Wall.ReEx.07.01,0,0,PL.Floor.ReEx.07.02,0,PL.Window.ReEx.07.02,0,PL.Door.ReEx.07.02,,,,,,,,0.15,0.05,0.1,0.5,0,0.19,0,0,0.5,0,1.4,0,1.7,0.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,1,0,1,0,0,0.5,0,PL.Roof.Insulation20cm.01,0,PL.Wall.foamed polistyrene 14  cm.01,0,0,PL.Floor.Insulation12cm.01,0,"PL.Window.plastic, triple glazed.01",0,PL.Door.Low_E.01,5.714286,0,3.5,0,0,3.4285715,0,0.8333333,0,0.7692308,0.7,0,0.2,0,0.14,0,0,0.12,0,0,0,0,0,0,0,0,,Add,,Add,,Add,,Add,,Add,,Add,,Add,,Replace,,Replace,,Replace,1,1,1,1,1,1,1,1,1,1,PL.N,country,242,12,2.8,647,462,560,448,391,EU.MUH,20,0.95,0.85,0.4,2.5,3,15,0.8,0.6,0.3,0.9,45
