id,Code_BuildingVariant,Remark_BuildingVariant_1,Remark_BuildingVariant_2,Date_Entry,Date_Change,Code_StatusDataset,Code_Country,Number_BuildingVariant,Code_TypeVariant,Code_Building,Description_BuildingVariant,Description_BuildingVariant_National,Code_BuildingType,Code_DataType_Building,Code_BuildingSizeClass,Code_ConstructionYearClass,Year1_Building,Year2_Building,Code_UtilisationType,V_C,A_C_National,A_C_ExtDim,A_C_IntDim,A_C_Use,A_C_Living,A_C_Ref_Input,n_Apartment,n_Storey,Code_RoofType_val_data,Code_RoofType,Code_AtticCond_val_data,Code_AtticCond,Code_CellarCond_val_data,Code_CellarCond,Code_AttachedNeighbours_val_data,Code_AttachedNeighbours,A_SolarPotential_1,Code_Orientation_SolarPotential_1,Inclination_SolarPotential_1,A_SolarPotential_2,Code_Orientation_SolarPotential_2,Inclination_SolarPotential_2,Code_ComplexFootprint_val_data,Code_ComplexFootprint,Code_ComplexRoof_val_data,Code_ComplexRoof,h_Ceiling,A_Roof_1,A_Roof_2,A_Wall_1,A_Wall_2,A_Wall_3,A_Floor_1,A_Floor_2,A_Window_1,A_Window_2,A_Door_1,A_Window_Horizontal,A_Window_East,A_Window_South,A_Window_West,A_Window_North,Code_TypeIntake_EnvelopeArea_val_data,Code_TypeIntake_EnvelopeArea,f_Corr_CeilingHeight,f_PlausiCrit_EnvSum_LowerLimit,f_PlausiCrit_EnvSum_UpperLimit,f_PlausiCrit_FloorArea_LowerLimit,f_PlausiCrit_FloorArea_UpperLimit,f_PlausiCrit_WindowArea_LowerLimit,f_PlausiCrit_WindowArea_UpperLimit,Code_ThermalBridging_Original,Code_ThermalBridging_Refurbished,Code_Infiltration_Actual,Code_Roof_1,Code_Roof_2,Code_Wall_1,Code_Wall_2,Code_Wall_3,Code_Floor_1,Code_Floor_2,Code_Window_1,Code_Window_2,Code_Door_1,Code_ConstructionBorder_Roof_1,Code_ConstructionBorder_Roof_2,Code_ConstructionBorder_Wall_1,Code_ConstructionBorder_Wall_2,Code_ConstructionBorder_Wall_3,Code_ConstructionBorder_Floor_1,Code_ConstructionBorder_Floor_2,delta_U_ThermalBridging_Original,delta_U_ThermalBridging_Refurbished,n_air_infiltration,U_Roof_1,U_Roof_2,U_Wall_1,U_Wall_2,U_Wall_3,U_Floor_1,U_Floor_2,U_Window_1,U_Window_2,U_Door_1,g_gl_n_Window_1,g_gl_n_Window_2,d_Insulation_Roof_1,d_Insulation_Roof_2,d_Insulation_Wall_1,d_Insulation_Wall_2,d_Insulation_Wall_3,d_Insulation_Floor_1,d_Insulation_Floor_2,R_Add_UnheatedSpace_Roof_1,R_Add_UnheatedSpace_Roof_2,R_Add_UnheatedSpace_Wall_1,R_Add_UnheatedSpace_Wall_2,R_Add_UnheatedSpace_Wall_3,R_Add_UnheatedSpace_Floor_1,R_Add_UnheatedSpace_Floor_2,b_Transmission_Roof_1,b_Transmission_Roof_2,b_Transmission_Wall_1,b_Transmission_Wall_2,b_Transmission_Wall_3,b_Transmission_Floor_1,b_Transmission_Floor_2,Code_Measure_Roof_1,Code_Measure_Roof_2,Code_Measure_Wall_1,Code_Measure_Wall_2,Code_Measure_Wall_3,Code_Measure_Floor_1,Code_Measure_Floor_2,Code_Measure_Window_1,Code_Measure_Window_2,Code_Measure_Door_1,R_PredefinedMeasure_Roof_1,R_PredefinedMeasure_Roof_2,R_PredefinedMeasure_Wall_1,R_PredefinedMeasure_Wall_2,R_PredefinedMeasure_Wall_3,R_PredefinedMeasure_Floor_1,R_PredefinedMeasure_Floor_2,R_PredefinedMeasure_Window_1,R_PredefinedMeasure_Window_2,R_PredefinedMeasure_Door_1,g_gl_n_PredefinedMeasure_Window_1,g_gl_n_PredefinedMeasure_Window_2,d_Insulation_PredefinedMeasure_Roof_1,d_Insulation_PredefinedMeasure_Roof_2,d_Insulation_PredefinedMeasure_Wall_1,d_Insulation_PredefinedMeasure_Wall_2,d_Insulation_PredefinedMeasure_Wall_3,d_Insulation_PredefinedMeasure_Floor_1,d_Insulation_PredefinedMeasure_Floor_2,d_Insulation_Input_Measure_Roof_1,d_Insulation_Input_Measure_Roof_2,d_Insulation_Input_Measure_Wall_1,d_Insulation_Input_Measure_Wall_2,d_Insulation_Input_Measure_Wall_3,d_Insulation_Input_Measure_Floor_1,d_Insulation_Input_Measure_Floor_2,Code_MeasureType_Roof_1_val_data,Code_MeasureType_Roof_1,Code_MeasureType_Roof_2_val_data,Code_MeasureType_Roof_2,Code_MeasureType_Wall_1_val_data,Code_MeasureType_Wall_1,Code_MeasureType_Wall_2_val_data,Code_MeasureType_Wall_2,Code_MeasureType_Wall_3_val_data,Code_MeasureType_Wall_3,Code_MeasureType_Floor_1_val_data,Code_MeasureType_Floor_1,Code_MeasureType_Floor_2_val_data,Code_MeasureType_Floor_2,Code_MeasureType_Window_1_val_data,Code_MeasureType_Window_1,Code_MeasureType_Window_2_val_data,Code_MeasureType_Window_2,Code_MeasureType_Door_1_val_data,Code_MeasureType_Door_1,f_Measure_Roof_1,f_Measure_Roof_2,f_Measure_Wall_1,f_Measure_Wall_2,f_Measure_Wall_3,f_Measure_Floor_1,f_Measure_Floor_2,f_Measure_Window_1,f_Measure_Window_2,f_Measure_Door_1,Code_ClimateRegion,Name_ClimateRegion,HeatingDays,Theta_e_Base,Theta_e,I_Sol_Hor,I_Sol_East,I_Sol_South,I_Sol_West,I_Sol_North,Code_BoundaryCond,theta_i,F_red_htr1,F_red_htr4,n_air_use,h_room,phi_int,q_w_nd,F_sh_hor,F_sh_vert,F_f,F_w,c_m
1,CY.N.MFH.01.Gen.ReEx.001.001,0,0,2013-07-08,,Typology,CY,1,Refurbishment,CY.N.MFH.01.Gen.ReEx.001,Existing stage,Υπάρχουσα κατάσταση,CY.N.MFH.01.Gen,ReEx,MFH,CY.01,0,1980,Apartment,10464,2185,3488,2185,2185,2185,0,23,7,,FR,,-,,-,,B_Alone,0,0,0,0,0,0,,Standard,,Standard,0,387.5,0,2964.65,0,0,387.5,0,561.6,0,2.2,0,121.8,167,128.8,144,,Manual,1,0.8,1.25,0.9,1.3,0.67,1.5,High,High,High,CY.Roof.ReEx.01.01,0,CY.Wall.ReEx.01.01,0,0,CY.Floor.ReEx.01.06,0,CY.Window.ReEx.01.02,0,CY.Door.ReEx.02.02,,,,,,,,0.15,0.15,0.4,3.42,0,1.389,0,0,2.94,0,6.1,0,5.85,0.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,1,1,1,1,1,1,1,1,1,1,CY.N,National,67,12,10.7,195,125,232,124,52,EU.MUH,20,0.95,0.85,0.4,2.5,3,15,0.8,0.6,0.3,0.9,45
2,CY.N.MFH.01.Gen.ReEx.001.002,0,0,2013-07-08,,Typology,CY,2,Refurbishment,CY.N.MFH.01.Gen.ReEx.001,Refurbishment Package A,Ανακαίνιση Α,CY.N.MFH.01.Gen,ReEx,MFH,CY.01,0,1980,Apartment,10464,2185,3488,2185,2185,2185,0,23,7,,FR,,-,,-,,B_Alone,0,0,0,0,0,0,,Standard,,Standard,0,387.5,0,2964.65,0,0,387.5,0,561.6,0,2.2,0,121.8,167,128.8,144,,Manual,1,0.8,1.25,0.9,1.3,0.67,1.5,High,Medium,Medium,CY.Roof.ReEx.01.01,0,CY.Wall.ReEx.01.01,0,0,CY.Floor.ReEx.01.06,0,CY.Window.ReEx.01.02,0,CY.Door.ReEx.02.02,,,,,,,,0.15,0.1,0.2,3.42,0,1.389,0,0,2.94,0,6.1,0,5.85,0.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,1,0,1,0,0,1,0,CY.Roof.Insulation40mm.04,0,CY.Wall.Insulation20mm.01,0,0,CY.Floor.Insulation30mm.01,0,CY.Window.DoubleGlazing.01,0,CY.Door.Door.01,0.9756098,0,0.73170733,0,0,0.73170733,0,0.3125,0,0.3846154,0.51,0,0.04,0,0.03,0,0,0.03,0,0.04,0,0.02,0,0,0.03,0,,Add,,0,,Add,,0,,0,,Add,,0,,Replace,,0,,Replace,1,1,1,1,1,1,1,1,1,1,CY.N,National,67,12,10.7,195,125,232,124,52,EU.MUH,20,0.95,0.85,0.4,2.5,3,15,0.8,0.6,0.3,0.9,45
3,CY.N.MFH.01.Gen.ReEx.001.003,0,0,2013-07-08,,Typology,CY,3,Refurbishment,CY.N.MFH.01.Gen.ReEx.001,Refurbishment Package B,Ανακαίνιση Β,CY.N.MFH.01.Gen,ReEx,MFH,CY.01,0,1980,Apartment,10464,2185,3488,2185,2185,2185,0,23,7,,FR,,-,,-,,B_Alone,0,0,0,0,0,0,,Standard,,Standard,0,387.5,0,2964.65,0,0,387.5,0,561.6,0,2.2,0,121.8,167,128.8,144,,Manual,1,0.8,1.25,0.9,1.3,0.67,1.5,High,Low,Low,CY.Roof.ReEx.01.01,0,CY.Wall.ReEx.01.01,0,0,CY.Floor.ReEx.01.06,0,CY.Window.ReEx.01.02,0,CY.Door.ReEx.02.02,,,,,,,,0.15,0.05,0.1,3.42,0,1.389,0,0,2.94,0,6.1,0,5.85,0.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,1,0,1,0,0,1,0,CY.Roof.Insulation60mm.06,0,CY.Wall.Insulation30mm.02,0,0,CY.Floor.Insulation40mm.02,0,CY.Window.DoubleGlasing.03,0,CY.Door.Door.01,1.4634147,0,0.4878049,0,0,0.9756098,0,0.35714287,0,0.3846154,0.5,0,0.06,0,0.02,0,0,0.04,0,0.06,0,0.04,0,0,0.04,0,,ReplaceInsulation,,0,,ReplaceInsulation,,0,,0,,ReplaceInsulation,,0,,Replace,,0,,Replace,1,1,1,1,1,1,1,1,1,1,CY.N,National,67,12,10.7,195,125,232,124,52,EU.MUH,20,0.95,0.85,0.4,2.5,3,15,0.8,0.6,0.3,0.9,45
4,CY.N.MFH.02.Gen.ReEx.001.001,0,0,2013-10-11,,Typology,CY,1,Refurbishment,CY.N.MFH.02.Gen.ReEx.001,Existing stage,Υπάρχουσα κατάσταση,CY.N.MFH.02.Gen,ReEx,MFH,CY.02,1981,2006,Apartment,3360,1120,1302.4,1120,1120,1120,0,8,4,,FR,,-,,-,,B_Alone,0,0,0,0,0,0,,Standard,,Standard,0,325,0,1573.6,0,0,325,0,116.4,0,2.2,0,32.4,12.6,9.6,61.8,,Manual,1,0.8,1.25,0.9,1.3,0.67,1.5,High,High,High,CY.Roof.ReEx.01.01,0,CY.Wall.ReEx.01.01,0,0,CY.Floor.ReEx.01.06,0,CY.Window.ReEx.01.02,0,CY.Door.ReEx.02.02,,,,,,,,0.15,0.15,0.4,3.42,0,1.389,0,0,2.94,0,6.1,0,5.85,0.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,1,1,1,1,1,1,1,1,1,1,CY.N,National,67,12,10.7,195,125,232,124,52,EU.MUH,20,0.95,0.85,0.4,2.5,3,15,0.8,0.6,0.3,0.9,45
5,CY.N.MFH.02.Gen.ReEx.001.002,0,0,2013-10-11,,Typology,CY,2,Refurbishment,CY.N.MFH.02.Gen.ReEx.001,Refurbishment Package A,Ανακαίνιση Α,CY.N.MFH.02.Gen,ReEx,MFH,CY.02,1981,2006,Apartment,3360,1120,1302.4,1120,1120,1120,0,8,4,,FR,,-,,-,,B_Alone,0,0,0,0,0,0,,Standard,,Standard,0,325,0,1573.6,0,0,325,0,116.4,0,2.2,0,32.4,12.6,9.6,61.8,,Manual,1,0.8,1.25,0.9,1.3,0.67,1.5,High,Medium,Medium,CY.Roof.ReEx.01.01,0,CY.Wall.ReEx.01.01,0,0,CY.Floor.ReEx.01.06,0,CY.Window.ReEx.01.02,0,CY.Door.ReEx.02.02,,,,,,,,0.15,0.1,0.2,3.42,0,1.389,0,0,2.94,0,6.1,0,5.85,0.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,1,0,1,1,0,1,0,CY.Roof.Insulation40mm.04,0,CY.Wall.Insulation20mm.01,CY.Wall.Insulation20mm.01,0,CY.Floor.Insulation30mm.01,0,CY.Window.DoubleGlazing.01,0,CY.Door.Door.01,0.9756098,0,0.73170733,0.73170733,0,0.73170733,0,0.3125,0,0.3846154,0.51,0,0.04,0,0.03,0.03,0,0.03,0,0.04,0,0.02,0.02,0,0.03,0,,Add,,0,,Add,,0,,0,,Add,,0,,Replace,,0,,Replace,1,1,1,1,1,1,1,1,1,1,CY.N,National,67,12,10.7,195,125,232,124,52,EU.MUH,20,0.95,0.85,0.4,2.5,3,15,0.8,0.6,0.3,0.9,45
6,CY.N.MFH.02.Gen.ReEx.001.003,0,0,2013-10-11,,Typology,CY,3,Refurbishment,CY.N.MFH.02.Gen.ReEx.001,Refurbishment Package B,Ανακαίνιση Β,CY.N.MFH.02.Gen,ReEx,MFH,CY.02,1981,2006,Apartment,3360,1120,1302.4,1120,1120,1120,0,8,4,,FR,,-,,-,,B_Alone,0,0,0,0,0,0,,Standard,,Standard,0,325,0,1573.6,0,0,325,0,116.4,0,2.2,0,32.4,12.6,9.6,61.8,,Manual,1,0.8,1.25,0.9,1.3,0.67,1.5,High,Low,Low,CY.Roof.ReEx.01.01,0,CY.Wall.ReEx.01.01,0,0,CY.Floor.ReEx.01.06,0,CY.Window.ReEx.01.02,0,CY.Door.ReEx.02.02,,,,,,,,0.15,0.05,0.1,3.42,0,1.389,0,0,2.94,0,6.1,0,5.85,0.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,1,0,1,1,0,1,0,CY.Roof.Insulation60mm.06,0,CY.Wall.Insulation30mm.02,CY.Wall.Insulation30mm.02,0,CY.Floor.Insulation40mm.02,0,CY.Window.DoubleGlasing.03,0,CY.Door.Door.01,1.4634147,0,0.4878049,0.4878049,0,0.9756098,0,0.35714287,0,0.3846154,0.5,0,0.06,0,0.02,0.02,0,0.04,0,0.06,0,0.04,0.04,0,0.04,0,,ReplaceInsulation,,0,,ReplaceInsulation,,0,,0,,ReplaceInsulation,,0,,Replace,,0,,Replace,1,1,1,1,1,1,1,1,1,1,CY.N,National,67,12,10.7,195,125,232,124,52,EU.MUH,20,0.95,0.85,0.4,2.5,3,15,0.8,0.6,0.3,0.9,45
7,CY.N.MFH.03.Gen.ReEx.001.001,0,0,2013-10-12,,Typology,CY,1,Variation,CY.N.MFH.03.Gen.ReEx.001,Existing stage,Υπάρχουσα κατάσταση,CY.N.MFH.03.Gen,ReEx,MFH,CY.03,2007,2013,Apartment,5989,1350,1711,1350,1350,1350,0,14,3,,FR,,-,,-,,B_Alone,0,0,0,0,0,0,,Standard,,Standard,0,502,0,1782,0,0,502,0,175.8,0,2.2,0,44.2,50.1,38.6,50.1,,Manual,1,0.8,1.25,0.9,1.3,0.67,1.5,Medium,Medium,Medium,CY.Roof.ReEx.03.07,0,CY.Wall.ReEx.03.05,0,0,CY.Floor.ReEx.03.04,0,CY.Window.ReEx.03.06,0,CY.Door.ReEx.01.01,,,,,,,,0.1,0.1,0.2,0.77,0,0.82,0,0,0.77,0,3.2,0,2.6,0.51,0,0.04,0,0.02,0,0,0.03,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,1,1,1,1,1,1,1,1,1,1,CY.N,National,67,12,10.7,195,125,232,124,52,EU.MUH,20,0.95,0.85,0.4,2.5,3,15,0.8,0.6,0.3,0.9,45
8,CY.N.MFH.03.Gen.ReEx.001.002,0,0,2013-10-12,,Typology,CY,2,Variation,CY.N.MFH.03.Gen.ReEx.001,Variation A,Παραλλαγή Α,CY.N.MFH.03.Gen,ReEx,MFH,CY.03,2007,2013,Apartment,5989,1350,1711,1350,1350,1350,0,14,3,,FR,,-,,-,,B_Alone,0,0,0,0,0,0,,Standard,,Standard,0,502,0,1782,0,0,502,0,175.8,0,2.2,0,44.2,50.1,38.6,50.1,,Manual,1,0.8,1.25,0.9,1.3,0.67,1.5,Medium,Low,Low,CY.Roof.ReEx.03.07,0,CY.Wall.ReEx.03.05,0,0,CY.Floor.ReEx.03.04,0,CY.Window.ReEx.03.06,0,CY.Door.ReEx.01.01,,,,,,,,0.1,0.05,0.1,0.77,0,0.82,0,0,0.77,0,3.2,0,2.6,0.51,0,0.04,0,0.02,0,0,0.03,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,CY.Roof.Insulation30mm.03,0,CY.Wall.Insulation20mm.01,CY.Wall.Insulation20mm.01,0,CY.Floor.Insulation20mm.06,0,CY.Window.DoubleGlazing.01,0,CY.Door.Door.01,0.73170733,0,0.73170733,0.73170733,0,0.4878049,0,0.3125,0,0.3846154,0.51,0,0.03,0,0.03,0.03,0,0.02,0,0.02,0,0.02,0.02,0,0.02,0,,Add,,0,,Add,,Add,,0,,Add,,0,,Replace,,0,,Replace,1,1,1,1,1,1,1,1,1,1,CY.N,National,67,12,10.7,195,125,232,124,52,EU.MUH,20,0.95,0.85,0.4,2.5,3,15,0.8,0.6,0.3,0.9,45
9,CY.N.MFH.03.Gen.ReEx.001.003,0,0,2013-10-12,2014-03-15,Typology,CY,3,Variation,CY.N.MFH.03.Gen.ReEx.001,Variation Β,Παραλλαγή Β,CY.N.MFH.03.Gen,ReEx,MFH,CY.03,2007,2013,Apartment,5989,1350,1711,1350,1350,1350,0,14,3,,FR,,-,,-,,B_Alone,0,0,0,0,0,0,,Standard,,Standard,0,502,0,1782,0,0,502,0,175.8,0,2.2,0,44.2,50.1,38.6,50.1,,Manual,1,0.8,1.25,0.9,1.3,0.67,1.5,Medium,Minimal,Minimal,CY.Roof.ReEx.03.07,0,CY.Wall.ReEx.03.05,0,0,CY.Floor.ReEx.03.04,0,CY.Window.ReEx.03.06,0,CY.Door.ReEx.01.01,,,,,,,,0.1,0,0.05,0.77,0,0.82,0,0,0.77,0,3.2,0,2.6,0.51,0,0.04,0,0.02,0,0,0.03,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,CY.Roof.Insulation40mm.04,0,CY.Wall.insulation40mm.08,CY.Wall.insulation40mm.08,0,CY.Floor.Insulation40mm.02,0,CY.Window.DoubleGlasing.03,0,CY.Door.Door.01,0.9756098,0,1.3333334,1.3333334,0,0.9756098,0,0.35714287,0,0.3846154,0.5,0,0.04,0,0.04,0.04,0,0.04,0,0.05,0,0.04,0.04,0,0.04,0,,Add,,0,,Add,,Add,,0,,Add,,0,,Replace,,0,,Replace,1,1,1,1,1,1,1,1,1,1,CY.N,National,67,12,10.7,195,125,232,124,52,EU.MUH,20,0.95,0.85,0.4,2.5,3,15,0.8,0.6,0.3,0.9,45
10,CY.N.MFH.04.Gen.ReEx.001.001,0,0,2014-06-24,,Typology,CY,1,Variation,CY.N.MFH.04.Gen.ReEx.001,Existing State,Υπάρχουσα κατάσταση,CY.N.MFH.04.Gen,ReEx,MFH,CY.04,2014,9999,Apartment,5989,1350,1711,1350,1350,1350,0,14,3,,FR,,-,,-,,B_Alone,0,0,0,0,0,0,,Standard,,Standard,0,502,0,1782,0,0,502,0,175.8,0,2.2,0,44.2,50.1,38.6,50.1,,Manual,1,0.8,1.25,0.9,1.3,0.67,1.5,Medium,Low,Low,CY.Roof.ReAv.01.01,0,CY.Wall.ReAv.04.09,0,0,CY.Floor.ReAv.01.01,0,CY.Window.ReEx.03.06,0,CY.Door.ReAv.04.01,,,,,,,,0.1,0.05,0.1,0.6,0,0.65,0,0,0.65,0,3.2,0,2.8,0.51,0,0.04,0,0.03,0,0,0.03,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,1,1,1,1,1,1,1,1,1,1,CY.N,National,67,12,10.7,195,125,232,124,52,EU.MUH,20,0.95,0.85,0.4,2.5,3,15,0.8,0.6,0.3,0.9,45
11,CY.N.MFH.04.Gen.ReEx.001.002,0,0,2014-06-24,,Typology,CY,2,Variation,CY.N.MFH.04.Gen.ReEx.001,Variation A,Παραλλαγή Α,CY.N.MFH.04.Gen,ReEx,MFH,CY.04,2014,9999,Apartment,5989,1350,1711,1350,1350,1350,0,14,3,,FR,,-,,-,,B_Alone,0,0,0,0,0,0,,Standard,,Standard,0,502,0,1782,0,0,502,0,175.8,0,2.2,0,44.2,50.1,38.6,50.1,,Manual,1,0.8,1.25,0.9,1.3,0.67,1.5,Medium,Minimal,Minimal,CY.Roof.ReAv.01.01,0,CY.Wall.ReAv.04.09,0,0,CY.Floor.ReAv.01.01,0,CY.Window.ReEx.03.06,0,CY.Door.ReAv.04.01,,,,,,,,0.1,0,0.05,0.6,0,0.65,0,0,0.65,0,3.2,0,2.8,0.51,0,0.04,0,0.03,0,0,0.03,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,CY.Roof.Insulation50mm.05,0,CY.Wall.Insulation50mm.03,CY.Wall.Insulation50mm.03,0,CY.Floor.Insulation20mm.06,0,CY.Window.DoubleGlasing.03,0,CY.Door.Door.01,1.2195122,0,1.2195122,1.2195122,0,0.4878049,0,0.35714287,0,0.3846154,0.5,0,0.05,0,0.05,0.05,0,0.02,0,0.01,0,0.01,0.01,0,0.01,0,,Add,,0,,Add,,Add,,0,,Add,,0,,Replace,,0,,Replace,1,1,1,1,1,1,1,1,1,1,CY.N,National,67,12,10.7,195,125,232,124,52,EU.MUH,20,0.95,0.85,0.4,2.5,3,15,0.8,0.6,0.3,0.9,45
12,CY.N.MFH.04.Gen.ReEx.001.003,0,0,2014-06-24,,Typology,CY,3,Variation,CY.N.MFH.04.Gen.ReEx.001,Variation Β,Παραλλαγή Β,CY.N.MFH.04.Gen,ReEx,MFH,CY.04,2014,9999,Apartment,5989,1350,1711,1350,1350,1350,0,14,3,,FR,,-,,-,,B_Alone,0,0,0,0,0,0,,Standard,,Standard,0,502,0,1782,0,0,502,0,175.8,0,2.2,0,44.2,50.1,38.6,50.1,,Manual,1,0.8,1.25,0.9,1.3,0.67,1.5,Medium,Minimal,Minimal,CY.Roof.ReAv.01.01,0,CY.Wall.ReAv.04.09,0,0,CY.Floor.ReAv.01.01,0,CY.Window.ReEx.03.06,0,CY.Door.ReAv.04.01,,,,,,,,0.1,0,0.05,0.6,0,0.65,0,0,0.65,0,3.2,0,2.8,0.51,0,0.04,0,0.03,0,0,0.03,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,CY.Roof.Insulation80mm.09,0,CY.Wall.Insulation70mm.06,CY.Wall.Insulation70mm.06,0,CY.Floor.Insulation40mm.02,0,CY.Window.DoubleGlasing.03,0,CY.Door.Door.01,1.9512196,0,2.3333333,2.3333333,0,0.9756098,0,0.35714287,0,0.3846154,0.5,0,0.08,0,0.07,0.07,0,0.04,0,0.03,0,0.02,0.02,0,0.03,0,,Add,,0,,Add,,Add,,0,,Add,,0,,Replace,,0,,Replace,1,1,1,1,1,1,1,1,1,1,CY.N,National,67,12,10.7,195,125,232,124,52,EU.MUH,20,0.95,0.85,0.4,2.5,3,15,0.8,0.6,0.3,0.9,45
13,CY.N.SFH.01.Gen.ReEx.001.001,0,0,2013-10-12,,Typology,CY,1,Refurbishment,CY.N.SFH.01.Gen.ReEx.001,Existing stage,Υπάρχουσα κατάσταση,CY.N.SFH.01.Gen,ReEx,SFH,CY.01,0,1980,SingleFamily,290.5,82,93.5,82,82,82,0,1,1,,TR,,-,,-,,B_Alone,0,0,0,0,0,0,,Standard,,Standard,0,100,0,118.2,0,0,100,0,11.8,0,2.2,0,0,4.6,4.4,2.8,,Manual,1,0.8,1.25,0.9,1.3,0.67,1.5,High,High,High,CY.Roof.ReEx.01.04,0,CY.Wall.ReEx.01.01,0,0,CY.Floor.ReEx.01.02,0,CY.Window.ReEx.01.02,0,CY.Door.ReEx.02.02,,,,,,,,0.15,0.15,0.4,3.42,0,1.389,0,0,1.97,0,6.1,0,5.85,0.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,1,1,1,1,1,1,1,1,1,1,CY.N,National,67,12,10.7,195,125,232,124,52,EU.SUH,20,0.9,0.8,0.4,2.5,3,10,0.8,0.6,0.3,0.9,45
14,CY.N.SFH.01.Gen.ReEx.001.002,0,0,2013-10-12,,Typology,CY,2,Refurbishment,CY.N.SFH.01.Gen.ReEx.001,Refurbishment Package A,Ανακαίνιση Α,CY.N.SFH.01.Gen,ReEx,SFH,CY.01,0,1980,SingleFamily,290.5,82,93.5,82,82,82,0,1,1,,TR,,-,,-,,B_Alone,0,0,0,0,0,0,,Standard,,Standard,0,100,0,118.2,0,0,100,0,11.8,0,2.2,0,0,4.6,4.4,2.8,,Manual,1,0.8,1.25,0.9,1.3,0.67,1.5,High,Medium,Medium,CY.Roof.ReEx.01.04,0,CY.Wall.ReEx.01.01,0,0,CY.Floor.ReEx.01.02,0,CY.Window.ReEx.01.02,0,CY.Door.ReEx.02.02,,,,,,,,0.15,0.1,0.2,3.42,0,1.389,0,0,1.97,0,6.1,0,5.85,0.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0.5,0,CY.Roof.Insulation40mm.04,0,CY.Wall.Insulation20mm.01,CY.Wall.Insulation20mm.01,0,CY.Floor.Insulation20mm.06,0,CY.Window.DoubleGlazing.01,0,CY.Door.Door.01,0.9756098,0,0.73170733,0.73170733,0,0.4878049,0,0.3125,0,0.3846154,0.51,0,0.04,0,0.03,0.03,0,0.02,0,0.04,0,0.02,0.02,0,0.02,0,,Add,,0,,Add,,Add,,0,,Add,,0,,Replace,,0,,Replace,1,1,1,1,1,1,1,1,1,1,CY.N,National,67,12,10.7,195,125,232,124,52,EU.SUH,20,0.9,0.8,0.4,2.5,3,10,0.8,0.6,0.3,0.9,45
