id,Code_BuildingVariant,Remark_BuildingVariant_1,Remark_BuildingVariant_2,Date_Entry,Date_Change,Code_StatusDataset,Code_Country,Number_BuildingVariant,Code_TypeVariant,Code_Building,Description_BuildingVariant,Description_BuildingVariant_National,Code_BuildingType,Code_DataType_Building,Code_BuildingSizeClass,Code_ConstructionYearClass,Year1_Building,Year2_Building,Code_UtilisationType,V_C,A_C_National,A_C_ExtDim,A_C_IntDim,A_C_Use,A_C_Living,A_C_Ref_Input,n_Apartment,n_Storey,Code_RoofType_val_data,Code_RoofType,Code_AtticCond_val_data,Code_AtticCond,Code_CellarCond_val_data,Code_CellarCond,Code_AttachedNeighbours_val_data,Code_AttachedNeighbours,A_SolarPotential_1,Code_Orientation_SolarPotential_1,Inclination_SolarPotential_1,A_SolarPotential_2,Code_Orientation_SolarPotential_2,Inclination_SolarPotential_2,Code_ComplexFootprint_val_data,Code_ComplexFootprint,Code_ComplexRoof_val_data,Code_ComplexRoof,h_Ceiling,A_Roof_1,A_Roof_2,A_Wall_1,A_Wall_2,A_Wall_3,A_Floor_1,A_Floor_2,A_Window_1,A_Window_2,A_Door_1,A_Window_Horizontal,A_Window_East,A_Window_South,A_Window_West,A_Window_North,Code_TypeIntake_EnvelopeArea_val_data,Code_TypeIntake_EnvelopeArea,f_Corr_CeilingHeight,f_PlausiCrit_EnvSum_LowerLimit,f_PlausiCrit_EnvSum_UpperLimit,f_PlausiCrit_FloorArea_LowerLimit,f_PlausiCrit_FloorArea_UpperLimit,f_PlausiCrit_WindowArea_LowerLimit,f_PlausiCrit_WindowArea_UpperLimit,Code_ThermalBridging_Original,Code_ThermalBridging_Refurbished,Code_Infiltration_Actual,Code_Roof_1,Code_Roof_2,Code_Wall_1,Code_Wall_2,Code_Wall_3,Code_Floor_1,Code_Floor_2,Code_Window_1,Code_Window_2,Code_Door_1,Code_ConstructionBorder_Roof_1,Code_ConstructionBorder_Roof_2,Code_ConstructionBorder_Wall_1,Code_ConstructionBorder_Wall_2,Code_ConstructionBorder_Wall_3,Code_ConstructionBorder_Floor_1,Code_ConstructionBorder_Floor_2,delta_U_ThermalBridging_Original,delta_U_ThermalBridging_Refurbished,n_air_infiltration,U_Roof_1,U_Roof_2,U_Wall_1,U_Wall_2,U_Wall_3,U_Floor_1,U_Floor_2,U_Window_1,U_Window_2,U_Door_1,g_gl_n_Window_1,g_gl_n_Window_2,d_Insulation_Roof_1,d_Insulation_Roof_2,d_Insulation_Wall_1,d_Insulation_Wall_2,d_Insulation_Wall_3,d_Insulation_Floor_1,d_Insulation_Floor_2,R_Add_UnheatedSpace_Roof_1,R_Add_UnheatedSpace_Roof_2,R_Add_UnheatedSpace_Wall_1,R_Add_UnheatedSpace_Wall_2,R_Add_UnheatedSpace_Wall_3,R_Add_UnheatedSpace_Floor_1,R_Add_UnheatedSpace_Floor_2,b_Transmission_Roof_1,b_Transmission_Roof_2,b_Transmission_Wall_1,b_Transmission_Wall_2,b_Transmission_Wall_3,b_Transmission_Floor_1,b_Transmission_Floor_2,Code_Measure_Roof_1,Code_Measure_Roof_2,Code_Measure_Wall_1,Code_Measure_Wall_2,Code_Measure_Wall_3,Code_Measure_Floor_1,Code_Measure_Floor_2,Code_Measure_Window_1,Code_Measure_Window_2,Code_Measure_Door_1,R_PredefinedMeasure_Roof_1,R_PredefinedMeasure_Roof_2,R_PredefinedMeasure_Wall_1,R_PredefinedMeasure_Wall_2,R_PredefinedMeasure_Wall_3,R_PredefinedMeasure_Floor_1,R_PredefinedMeasure_Floor_2,R_PredefinedMeasure_Window_1,R_PredefinedMeasure_Window_2,R_PredefinedMeasure_Door_1,g_gl_n_PredefinedMeasure_Window_1,g_gl_n_PredefinedMeasure_Window_2,d_Insulation_PredefinedMeasure_Roof_1,d_Insulation_PredefinedMeasure_Roof_2,d_Insulation_PredefinedMeasure_Wall_1,d_Insulation_PredefinedMeasure_Wall_2,d_Insulation_PredefinedMeasure_Wall_3,d_Insulation_PredefinedMeasure_Floor_1,d_Insulation_PredefinedMeasure_Floor_2,d_Insulation_Input_Measure_Roof_1,d_Insulation_Input_Measure_Roof_2,d_Insulation_Input_Measure_Wall_1,d_Insulation_Input_Measure_Wall_2,d_Insulation_Input_Measure_Wall_3,d_Insulation_Input_Measure_Floor_1,d_Insulation_Input_Measure_Floor_2,Code_MeasureType_Roof_1_val_data,Code_MeasureType_Roof_1,Code_MeasureType_Roof_2_val_data,Code_MeasureType_Roof_2,Code_MeasureType_Wall_1_val_data,Code_MeasureType_Wall_1,Code_MeasureType_Wall_2_val_data,Code_MeasureType_Wall_2,Code_MeasureType_Wall_3_val_data,Code_MeasureType_Wall_3,Code_MeasureType_Floor_1_val_data,Code_MeasureType_Floor_1,Code_MeasureType_Floor_2_val_data,Code_MeasureType_Floor_2,Code_MeasureType_Window_1_val_data,Code_MeasureType_Window_1,Code_MeasureType_Window_2_val_data,Code_MeasureType_Window_2,Code_MeasureType_Door_1_val_data,Code_MeasureType_Door_1,f_Measure_Roof_1,f_Measure_Roof_2,f_Measure_Wall_1,f_Measure_Wall_2,f_Measure_Wall_3,f_Measure_Floor_1,f_Measure_Floor_2,f_Measure_Window_1,f_Measure_Window_2,f_Measure_Door_1,Code_ClimateRegion,Name_ClimateRegion,HeatingDays,Theta_e_Base,Theta_e,I_Sol_Hor,I_Sol_East,I_Sol_South,I_Sol_West,I_Sol_North,Code_BoundaryCond,theta_i,F_red_htr1,F_red_htr4,n_air_use,h_room,phi_int,q_w_nd,F_sh_hor,F_sh_vert,F_f,F_w,c_m
1,CZ.N.AB.01.Gen.ReEx.001.001,0,0,2011-08-10,2014-10-22,Typology,CZ,1,Refurbishment,CZ.N.AB.01.Gen.ReEx.001,Existing,Stávající stav,CZ.N.AB.01.Gen,ReEx,AB,CZ.01,0,1920,Apartment,5346.6,1596,1596,0,1323,1237.2,0,12,6,,FR,,-,,N,,B_N2,0,0,0,0,0,0,,0,,0,0,282.5,0,698.28,603,0,282.5,0,145.92,0,3.36,0,0,67.2,0,78.72,,Manual,1,0.8,1.25,0.9,1.3,0.67,1.5,High,High,High,CZ.Ceiling.ReEx.01.01,0,CZ.Wall.ReEx.01.02,CZ.Wall.ReEx.01.03,0,CZ.Floor.ReEx.01.02,0,CZ.Window.ReEx.01.01,0,CZ.Door.ReEx.01.02,,,,,,,,0.15,0.15,0.4,1.2,0,1.36,1.8,0,0.8,0,2.7,0,4.7,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,1,0,1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,1,1,1,1,1,1,1,1,1,1,CZ.N,Czech Republic,217,12,3.8,374,225,396,225,99,EU.MUH,20,0.95,0.85,0.4,2.5,3,15,0.8,0.6,0.3,0.9,45
2,CZ.N.AB.01.Gen.ReEx.001.002,0,0,2011-08-10,2014-10-22,Typology,CZ,2,Refurbishment,CZ.N.AB.01.Gen.ReEx.001,Standard refurbishment,Standardní opatření,CZ.N.AB.01.Gen,ReEx,AB,CZ.01,0,1920,Apartment,5346.6,1596,1596,0,1323,1237.2,0,12,6,,FR,,-,,N,,B_N2,0,0,0,0,0,0,,0,,0,0,282.5,0,698.28,603,0,282.5,0,145.92,0,3.36,0,0,67.2,0,78.72,,Manual,1,0.8,1.25,0.9,1.3,0.67,1.5,High,Medium,Medium,CZ.Ceiling.ReEx.01.01,0,CZ.Wall.ReEx.01.02,CZ.Wall.ReEx.01.03,0,CZ.Floor.ReEx.01.02,0,CZ.Window.ReEx.01.01,0,CZ.Door.ReEx.01.02,,,,,,,,0.15,0.1,0.2,1.2,0,1.36,1.8,0,0.8,0,2.7,0,4.7,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,1,0,1,0,0,0.5,0,CZ.Ceiling.Insulation100mm-above.01,0,CZ.Wall.Insulation100mm.04,CZ.Wall.Insulation120mm.05,0,CZ.Floor.Insulation20mm.01,0,CZ.Window.Plast-double-glazed.01,0,CZ.Door.Plast-double-glazed.01,2.4390244,0,2.5641026,3.0769231,0,0.4878049,0,0.90909094,0,0.625,0.63,0,0.1,0,0.1,0.12,0,0.02,0,0,0,0,0,0,0,0,,Add,,Add,,Add,,Add,,Add,,Add,,Add,,Replace,,Replace,,Replace,1,1,1,1,1,1,1,1,1,1,CZ.N,Czech Republic,217,12,3.8,374,225,396,225,99,EU.MUH,20,0.95,0.85,0.4,2.5,3,15,0.8,0.6,0.3,0.9,45
3,CZ.N.AB.01.Gen.ReEx.001.003,0,0,2011-08-10,2014-10-22,Typology,CZ,3,Refurbishment,CZ.N.AB.01.Gen.ReEx.001,Advanced refurbishment,Progresivní opatření,CZ.N.AB.01.Gen,ReEx,AB,CZ.01,0,1920,Apartment,5346.6,1596,1596,0,1323,1237.2,0,12,6,,FR,,-,,N,,B_N2,0,0,0,0,0,0,,0,,0,0,282.5,0,698.28,603,0,282.5,0,145.92,0,3.36,0,0,67.2,0,78.72,,Manual,1,0.8,1.25,0.9,1.3,0.67,1.5,High,Low,Low,CZ.Ceiling.ReEx.01.01,0,CZ.Wall.ReEx.01.02,CZ.Wall.ReEx.01.03,0,CZ.Floor.ReEx.01.02,0,CZ.Window.ReEx.01.01,0,CZ.Door.ReEx.01.02,,,,,,,,0.15,0.05,0.1,1.2,0,1.36,1.8,0,0.8,0,2.7,0,4.7,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,1,0,1,0,0,0.5,0,CZ.Ceiling.Insulation160mm-above.02,0,CZ.Wall.Insulation140mm.06,CZ.Wall.Insulation140mm.06,0,CZ.Floor.Insulation50mm.02,0,CZ.Window.3p-LowE-arg.01,0,CZ.Door.Insulated-U0.9.01,3.902439,0,3.5897436,3.5897436,0,1.2195122,0,1.25,0,1.1111112,0.62,0,0.16,0,0.14,0.14,0,0.05,0,0,0,0,0,0,0,0,,Add,,Add,,Add,,Add,,Add,,Add,,Add,,Replace,,Replace,,Replace,1,1,1,1,1,1,1,1,1,1,CZ.N,Czech Republic,217,12,3.8,374,225,396,225,99,EU.MUH,20,0.95,0.85,0.4,2.5,3,15,0.8,0.6,0.3,0.9,45
4,CZ.N.AB.02.Gen.ReEx.001.001,0,0,2011-08-10,2014-10-22,Typology,CZ,1,Refurbishment,CZ.N.AB.02.Gen.ReEx.001,Existing,Stávající stav,CZ.N.AB.02.Gen,ReEx,AB,CZ.02,1921,1945,Apartment,3556.3,1138,1138,0,0,1001.4,0,19,5,,FR,,-,,N,,B_N1,0,0,0,0,0,0,,0,,0,0,256,0,223.58,316.75,0,256,0,184.68,0,5.28,0,0,70.56,43.56,70.56,,Manual,1,0.8,1.25,0.9,1.3,0.67,1.5,High,High,High,CZ.Roof.ReEx.02.03,0,CZ.Wall.ReEx.02.01,CZ.Wall.ReEx.02.02,0,CZ.Floor.ReEx.02.01,0,CZ.Window.ReEx.02.01,0,CZ.Door.ReEx.02.02,,,,,,,,0.15,0.15,0.4,1.2,0,1.1,1.36,0,1.5,0,2.7,0,4.7,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,1,1,1,1,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,1,1,1,1,1,1,1,1,1,1,CZ.N,Czech Republic,217,12,3.8,374,225,396,225,99,EU.MUH,20,0.95,0.85,0.4,2.5,3,15,0.8,0.6,0.3,0.9,45
5,CZ.N.AB.02.Gen.ReEx.001.002,0,0,2011-08-10,2014-10-22,Typology,CZ,2,Refurbishment,CZ.N.AB.02.Gen.ReEx.001,Standard refurbishment,Standardní opatření,CZ.N.AB.02.Gen,ReEx,AB,CZ.02,1921,1945,Apartment,3556.3,1138,1138,0,0,1001.4,0,19,5,,FR,,-,,N,,B_N1,0,0,0,0,0,0,,0,,0,0,256,0,223.58,316.75,0,256,0,184.68,0,5.28,0,0,70.56,43.56,70.56,,Manual,1,0.8,1.25,0.9,1.3,0.67,1.5,High,Medium,Medium,CZ.Roof.ReEx.02.03,0,CZ.Wall.ReEx.02.01,CZ.Wall.ReEx.02.02,0,CZ.Floor.ReEx.02.01,0,CZ.Window.ReEx.02.01,0,CZ.Door.ReEx.02.02,,,,,,,,0.15,0.1,0.2,1.2,0,1.1,1.36,0,1.5,0,2.7,0,4.7,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,1,1,1,1,0,0.5,0,CZ.Roof.Flatroofinsulation140mm.06,0,CZ.Wall.Insulation100mm.04,CZ.Wall.Insulation100mm.04,0,CZ.Floor.Insulation40mm-under.02,0,CZ.Window.Plast-double-glazed.01,0,CZ.Door.Plast-double-glazed.01,3.7837837,0,2.5641026,2.5641026,0,1.0256411,0,0.90909094,0,0.625,0.63,0,0.14,0,0.1,0.1,0,0.04,0,0,0,0,0,0,0,0,,Add,,Add,,Add,,Add,,Add,,Add,,Add,,Replace,,Replace,,Replace,1,1,1,1,1,1,1,1,1,1,CZ.N,Czech Republic,217,12,3.8,374,225,396,225,99,EU.MUH,20,0.95,0.85,0.4,2.5,3,15,0.8,0.6,0.3,0.9,45
6,CZ.N.AB.02.Gen.ReEx.001.003,0,0,2011-08-10,2014-10-22,Typology,CZ,3,Refurbishment,CZ.N.AB.02.Gen.ReEx.001,Advanced refurbishment,Progresivní opatření,CZ.N.AB.02.Gen,ReEx,AB,CZ.02,1921,1945,Apartment,3556.3,1138,1138,0,0,1001.4,0,19,5,,FR,,-,,N,,B_N1,0,0,0,0,0,0,,0,,0,0,256,0,223.58,316.75,0,256,0,184.68,0,5.28,0,0,70.56,43.56,70.56,,Manual,1,0.8,1.25,0.9,1.3,0.67,1.5,High,Low,Low,CZ.Roof.ReEx.02.03,0,CZ.Wall.ReEx.02.01,CZ.Wall.ReEx.02.02,0,CZ.Floor.ReEx.02.01,0,CZ.Window.ReEx.02.01,0,CZ.Door.ReEx.02.02,,,,,,,,0.15,0.05,0.1,1.2,0,1.1,1.36,0,1.5,0,2.7,0,4.7,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,1,1,1,1,0,0.5,0,CZ.Roof.Flatroofinsulation200m.08,0,CZ.Wall.Insulation120mm.05,CZ.Wall.Insulation140mm.06,0,CZ.Floor.Insulation60mm-under.03,0,CZ.Window.3p-LowE-arg.01,0,CZ.Door.Insulated-U0.9.01,5.4054055,0,3.0769231,3.5897436,0,1.5384616,0,1.25,0,1.1111112,0.62,0,0.2,0,0.12,0.14,0,0.06,0,0,0,0,0,0,0,0,,Add,,Add,,Add,,Add,,Add,,Add,,Add,,Replace,,Replace,,Replace,1,1,1,1,1,1,1,1,1,1,CZ.N,Czech Republic,217,12,3.8,374,225,396,225,99,EU.MUH,20,0.95,0.85,0.4,2.5,3,15,0.8,0.6,0.3,0.9,45
7,CZ.N.AB.03.Gen.ReEx.001.001,0,0,2011-08-10,2014-10-22,Typology,CZ,1,Refurbishment,CZ.N.AB.03.Gen.ReEx.001,Existing,Stávající stav,CZ.N.AB.03.Gen,ReEx,AB,CZ.03,1946,1960,Apartment,2629.2,876.4,876.4,0,691.7,500.2,0,12,3,,TR,,N,,N,,B_Alone,0,0,0,0,0,0,,0,,0,0,315.9,0,637.27,0,0,315.9,0,115.55,0,5.88,0,5.85,61.2,0,48.5,,Manual,1,0.8,1.25,0.9,1.3,0.67,1.5,High,High,High,CZ.Ceiling.ReEx.03.01,0,CZ.Wall.ReEx.03.01,0,0,CZ.Floor.ReEx.03.03,0,CZ.Window.ReEx.03.01,0,CZ.Door.ReEx.03.01,,,,,,,,0.15,0.15,0.4,1.3,0,1.43,0,0,1.5,0,2.8,0,4.7,0.75,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0.3,0,1,0,1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,1,1,1,1,1,1,1,1,1,1,CZ.N,Czech Republic,217,12,3.8,374,225,396,225,99,EU.MUH,20,0.95,0.85,0.4,2.5,3,15,0.8,0.6,0.3,0.9,45
8,CZ.N.AB.03.Gen.ReEx.001.002,0,0,2011-08-10,2014-10-22,Typology,CZ,2,Refurbishment,CZ.N.AB.03.Gen.ReEx.001,Standard refurbishment,Standardní opatření,CZ.N.AB.03.Gen,ReEx,AB,CZ.03,1946,1960,Apartment,2629.2,876.4,876.4,0,691.7,500.2,0,12,3,,TR,,N,,N,,B_Alone,0,0,0,0,0,0,,0,,0,0,315.9,0,637.27,0,0,315.9,0,115.55,0,5.88,0,5.85,61.2,0,48.5,,Manual,1,0.8,1.25,0.9,1.3,0.67,1.5,High,Medium,Medium,CZ.Ceiling.ReEx.03.01,0,CZ.Wall.ReEx.03.01,0,0,CZ.Floor.ReEx.03.03,0,CZ.Window.ReEx.03.01,0,CZ.Door.ReEx.03.01,,,,,,,,0.15,0.1,0.2,1.3,0,1.43,0,0,1.5,0,2.8,0,4.7,0.75,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0.3,0,1,0,1,0,0,0.5,0,CZ.Ceiling.Insulation100mm-above.01,0,CZ.Wall.Insulation120mm.05,0,0,CZ.Floor.Insulation40mm-under.02,0,CZ.Window.Plast-double-glazed.01,0,CZ.Door.Plast-double-glazed.01,2.4390244,0,3.0769231,0,0,1.0256411,0,0.90909094,0,0.625,0.63,0,0.1,0,0.12,0,0,0.04,0,0,0,0,0,0,0,0,,Add,,Add,,Add,,Add,,Add,,Add,,Add,,Replace,,Replace,,Replace,1,1,1,1,1,1,1,1,1,1,CZ.N,Czech Republic,217,12,3.8,374,225,396,225,99,EU.MUH,20,0.95,0.85,0.4,2.5,3,15,0.8,0.6,0.3,0.9,45
9,CZ.N.AB.03.Gen.ReEx.001.003,0,0,2011-08-10,2014-10-22,Typology,CZ,3,Refurbishment,CZ.N.AB.03.Gen.ReEx.001,Advanced refurbishment,Progresivní opatření,CZ.N.AB.03.Gen,ReEx,AB,CZ.03,1946,1960,Apartment,2629.2,876.4,876.4,0,691.7,500.2,0,12,3,,TR,,N,,N,,B_Alone,0,0,0,0,0,0,,0,,0,0,315.9,0,637.27,0,0,315.9,0,115.55,0,5.88,0,5.85,61.2,0,48.5,,Manual,1,0.8,1.25,0.9,1.3,0.67,1.5,High,Low,Low,CZ.Ceiling.ReEx.03.01,0,CZ.Wall.ReEx.03.01,0,0,CZ.Floor.ReEx.03.03,0,CZ.Window.ReEx.03.01,0,CZ.Door.ReEx.03.01,,,,,,,,0.15,0.05,0.1,1.3,0,1.43,0,0,1.5,0,2.8,0,4.7,0.75,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0.3,0,1,0,1,0,0,0.5,0,CZ.Ceiling.Insulation160mm-above.02,0,CZ.Wall.Insulation140mm.06,0,0,CZ.Floor.Insulation60mm-under.03,0,CZ.Window.Plast-treble-glazed.04,0,CZ.Door.Plast-treble-glazed.02,3.902439,0,3.5897436,0,0,1.5384616,0,1.25,0,0.7692308,0.5,0,0.16,0,0.14,0,0,0.06,0,0,0,0,0,0,0,0,,Add,,Add,,Add,,Add,,Add,,Add,,Add,,Replace,,Replace,,Replace,1,1,1,1,1,1,1,1,1,1,CZ.N,Czech Republic,217,12,3.8,374,225,396,225,99,EU.MUH,20,0.95,0.85,0.4,2.5,3,15,0.8,0.6,0.3,0.9,45
10,CZ.N.AB.04.Gen.ReEx.001.001,0,0,2011-08-10,2014-10-22,Typology,CZ,1,Refurbishment,CZ.N.AB.04.Gen.ReEx.001,Existing,Stávající stav,CZ.N.AB.04.Gen,ReEx,AB,CZ.04,1961,1980,Apartment,9264.64,3308.8,3308.8,0,2977.8,2561.8,0,48,8,,FR,,-,,N,,B_Alone,0,0,0,0,0,0,,0,,0,0,453.6,0,1484.52,0,0,453.6,0,688.48,0,24.5,0,12.8,331.4,12.8,331.4,,Manual,1,0.8,1.25,0.9,1.3,0.67,1.5,Medium,Medium,High,CZ.Roof.ReEx.04.02,0,CZ.Wall.ReEx.04.07,0,0,CZ.Floor.ReEx.04.05,0,CZ.Window.ReEx.04.01,0,CZ.Door.ReEx.04.02,,,,,,,,0.1,0.1,0.4,0.58,0,1.08,0,0,1.5,0,2.8,0,6.5,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,1,0,1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,1,1,1,1,1,1,1,1,1,1,CZ.N,Czech Republic,217,12,3.8,374,225,396,225,99,EU.MUH,20,0.95,0.85,0.4,2.5,3,15,0.8,0.6,0.3,0.9,45
11,CZ.N.AB.04.Gen.ReEx.001.002,0,0,2011-08-10,2014-10-22,Typology,CZ,2,Refurbishment,CZ.N.AB.04.Gen.ReEx.001,Standard refurbishment,Standardní opatření,CZ.N.AB.04.Gen,ReEx,AB,CZ.04,1961,1980,Apartment,9264.64,3308.8,3308.8,0,2977.8,2561.8,0,48,8,,FR,,-,,N,,B_Alone,0,0,0,0,0,0,,0,,0,0,453.6,0,1484.52,0,0,453.6,0,688.48,0,24.5,0,12.8,331.4,12.8,331.4,,Manual,1,0.8,1.25,0.9,1.3,0.67,1.5,Medium,Medium,Medium,CZ.Roof.ReEx.04.02,0,CZ.Wall.ReEx.04.07,0,0,CZ.Floor.ReEx.04.05,0,CZ.Window.ReEx.04.01,0,CZ.Door.ReEx.04.02,,,,,,,,0.1,0.1,0.2,0.58,0,1.08,0,0,1.5,0,2.8,0,6.5,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,1,0,1,0,0,0.5,0,CZ.Roof.Flatroofinsulation90mm.04,0,CZ.Wall.Insulation100mm.04,0,0,CZ.Floor.Insulation40mm-under.02,0,CZ.Window.Plast-double-glazed.01,0,CZ.Door.Plast-double-glazed.01,2.4324324,0,2.5641026,0,0,1.0256411,0,0.90909094,0,0.625,0.63,0,0.09,0,0.1,0,0,0.04,0,0,0,0,0,0,0,0,,Add,,Add,,Add,,Add,,Add,,Add,,Add,,Replace,,Replace,,Replace,1,1,1,1,1,1,1,1,1,1,CZ.N,Czech Republic,217,12,3.8,374,225,396,225,99,EU.MUH,20,0.95,0.85,0.4,2.5,3,15,0.8,0.6,0.3,0.9,45
12,CZ.N.AB.04.Gen.ReEx.001.003,0,0,2011-08-10,2014-10-22,Typology,CZ,3,Refurbishment,CZ.N.AB.04.Gen.ReEx.001,Advanced refurbishment,Progresivní opatření,CZ.N.AB.04.Gen,ReEx,AB,CZ.04,1961,1980,Apartment,9264.64,3308.8,3308.8,0,2977.8,2561.8,0,48,8,,FR,,-,,N,,B_Alone,0,0,0,0,0,0,,0,,0,0,453.6,0,1484.52,0,0,453.6,0,688.48,0,24.5,0,12.8,331.4,12.8,331.4,,Manual,1,0.8,1.25,0.9,1.3,0.67,1.5,Medium,Low,Low,CZ.Roof.ReEx.04.02,0,CZ.Wall.ReEx.04.07,0,0,CZ.Floor.ReEx.04.05,0,CZ.Window.ReEx.04.01,0,CZ.Door.ReEx.04.02,,,,,,,,0.1,0.05,0.1,0.58,0,1.08,0,0,1.5,0,2.8,0,6.5,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,1,0,1,0,0,0.5,0,CZ.Roof.Flatroofinsulation180mm.07,0,CZ.Wall.Insulation120mm.05,0,0,CZ.Floor.Insulation60mm-under.03,0,CZ.Window.Plast-treble-glazed.04,0,CZ.Door.Plast-treble-glazed.02,4.864865,0,3.0769231,0,0,1.5384616,0,1.25,0,0.7692308,0.5,0,0.18,0,0.12,0,0,0.06,0,0,0,0,0,0,0,0,,Add,,Add,,Add,,Add,,Add,,Add,,Add,,Replace,,Replace,,Replace,1,1,1,1,1,1,1,1,1,1,CZ.N,Czech Republic,217,12,3.8,374,225,396,225,99,EU.MUH,20,0.95,0.85,0.4,2.5,3,15,0.8,0.6,0.3,0.9,45
13,CZ.N.AB.05.Gen.ReEx.001.001,0,0,2011-08-10,2014-10-22,Typology,CZ,1,Refurbishment,CZ.N.AB.05.Gen.ReEx.001,Existing,Stávající stav,CZ.N.AB.05.Gen,ReEx,AB,CZ.05,1981,1994,Apartment,23709.24,8175.6,8175.6,0,6741.9,5749.65,0,90,9,,FR,,-,,N,,B_Alone,0,0,0,0,0,0,,0,,0,0,972,0,2462.4,0,0,972,0,1166.4,0,15.12,0,0,583.2,0,583.2,,Manual,1,0.8,1.25,0.9,1.3,0.67,1.5,Medium,Medium,High,CZ.Roof.ReEx.05.01,0,CZ.Wall.ReEx.05.02,0,0,CZ.Floor.ReEx.05.03,0,CZ.Window.ReEx.05.05,0,CZ.Door.ReEx.05.04,,,,,,,,0.1,0.1,0.4,0.35,0,0.87,0,0,1.28,0,2.8,0,6.5,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,1,0,1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,1,1,1,1,1,1,1,1,1,1,CZ.N,Czech Republic,217,12,3.8,374,225,396,225,99,EU.MUH,20,0.95,0.85,0.4,2.5,3,15,0.8,0.6,0.3,0.9,45
14,CZ.N.AB.05.Gen.ReEx.001.002,0,0,2011-08-10,2014-10-22,Typology,CZ,2,Refurbishment,CZ.N.AB.05.Gen.ReEx.001,Standard refurbishment,Standardní opatření,CZ.N.AB.05.Gen,ReEx,AB,CZ.05,1981,1994,Apartment,23709.24,8175.6,8175.6,0,6741.9,5749.65,0,90,9,,FR,,-,,N,,B_Alone,0,0,0,0,0,0,,0,,0,0,972,0,2462.4,0,0,972,0,1166.4,0,15.12,0,0,583.2,0,583.2,,Manual,1,0.8,1.25,0.9,1.3,0.67,1.5,Medium,Medium,Medium,CZ.Roof.ReEx.05.01,0,CZ.Wall.ReEx.05.02,0,0,CZ.Floor.ReEx.05.03,0,CZ.Window.ReEx.05.05,0,CZ.Door.ReEx.05.04,,,,,,,,0.1,0.1,0.2,0.35,0,0.87,0,0,1.28,0,2.8,0,6.5,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,1,0,1,0,0,0.5,0,CZ.Roof.Insulationbetween100mm.01,0,CZ.Wall.Insulation90mm.03,0,0,CZ.Floor.Insulation40mm-under.02,0,CZ.Window.Plast-double-glazed.01,0,CZ.Door.Plast-double-glazed.01,2.3809524,0,2.3076923,0,0,1.0256411,0,0.90909094,0,0.625,0.63,0,0.1,0,0.09,0,0,0.04,0,0,0,0,0,0,0,0,,Add,,Add,,Add,,Add,,Add,,Add,,Add,,Replace,,Replace,,Replace,1,1,1,1,1,1,1,1,1,1,CZ.N,Czech Republic,217,12,3.8,374,225,396,225,99,EU.MUH,20,0.95,0.85,0.4,2.5,3,15,0.8,0.6,0.3,0.9,45
