id,Code_BuildingVariant,Remark_BuildingVariant_1,Remark_BuildingVariant_2,Date_Entry,Date_Change,Code_StatusDataset,Code_Country,Number_BuildingVariant,Code_TypeVariant,Code_Building,Description_BuildingVariant,Description_BuildingVariant_National,Code_BuildingType,Code_DataType_Building,Code_BuildingSizeClass,Code_ConstructionYearClass,Year1_Building,Year2_Building,Code_UtilisationType,V_C,A_C_National,A_C_ExtDim,A_C_IntDim,A_C_Use,A_C_Living,A_C_Ref_Input,n_Apartment,n_Storey,Code_RoofType_val_data,Code_RoofType,Code_AtticCond_val_data,Code_AtticCond,Code_CellarCond_val_data,Code_CellarCond,Code_AttachedNeighbours_val_data,Code_AttachedNeighbours,A_SolarPotential_1,Code_Orientation_SolarPotential_1,Inclination_SolarPotential_1,A_SolarPotential_2,Code_Orientation_SolarPotential_2,Inclination_SolarPotential_2,Code_ComplexFootprint_val_data,Code_ComplexFootprint,Code_ComplexRoof_val_data,Code_ComplexRoof,h_Ceiling,A_Roof_1,A_Roof_2,A_Wall_1,A_Wall_2,A_Wall_3,A_Floor_1,A_Floor_2,A_Window_1,A_Window_2,A_Door_1,A_Window_Horizontal,A_Window_East,A_Window_South,A_Window_West,A_Window_North,Code_TypeIntake_EnvelopeArea_val_data,Code_TypeIntake_EnvelopeArea,f_Corr_CeilingHeight,f_PlausiCrit_EnvSum_LowerLimit,f_PlausiCrit_EnvSum_UpperLimit,f_PlausiCrit_FloorArea_LowerLimit,f_PlausiCrit_FloorArea_UpperLimit,f_PlausiCrit_WindowArea_LowerLimit,f_PlausiCrit_WindowArea_UpperLimit,Code_ThermalBridging_Original,Code_ThermalBridging_Refurbished,Code_Infiltration_Actual,Code_Roof_1,Code_Roof_2,Code_Wall_1,Code_Wall_2,Code_Wall_3,Code_Floor_1,Code_Floor_2,Code_Window_1,Code_Window_2,Code_Door_1,Code_ConstructionBorder_Roof_1,Code_ConstructionBorder_Roof_2,Code_ConstructionBorder_Wall_1,Code_ConstructionBorder_Wall_2,Code_ConstructionBorder_Wall_3,Code_ConstructionBorder_Floor_1,Code_ConstructionBorder_Floor_2,delta_U_ThermalBridging_Original,delta_U_ThermalBridging_Refurbished,n_air_infiltration,U_Roof_1,U_Roof_2,U_Wall_1,U_Wall_2,U_Wall_3,U_Floor_1,U_Floor_2,U_Window_1,U_Window_2,U_Door_1,g_gl_n_Window_1,g_gl_n_Window_2,d_Insulation_Roof_1,d_Insulation_Roof_2,d_Insulation_Wall_1,d_Insulation_Wall_2,d_Insulation_Wall_3,d_Insulation_Floor_1,d_Insulation_Floor_2,R_Add_UnheatedSpace_Roof_1,R_Add_UnheatedSpace_Roof_2,R_Add_UnheatedSpace_Wall_1,R_Add_UnheatedSpace_Wall_2,R_Add_UnheatedSpace_Wall_3,R_Add_UnheatedSpace_Floor_1,R_Add_UnheatedSpace_Floor_2,b_Transmission_Roof_1,b_Transmission_Roof_2,b_Transmission_Wall_1,b_Transmission_Wall_2,b_Transmission_Wall_3,b_Transmission_Floor_1,b_Transmission_Floor_2,Code_Measure_Roof_1,Code_Measure_Roof_2,Code_Measure_Wall_1,Code_Measure_Wall_2,Code_Measure_Wall_3,Code_Measure_Floor_1,Code_Measure_Floor_2,Code_Measure_Window_1,Code_Measure_Window_2,Code_Measure_Door_1,R_PredefinedMeasure_Roof_1,R_PredefinedMeasure_Roof_2,R_PredefinedMeasure_Wall_1,R_PredefinedMeasure_Wall_2,R_PredefinedMeasure_Wall_3,R_PredefinedMeasure_Floor_1,R_PredefinedMeasure_Floor_2,R_PredefinedMeasure_Window_1,R_PredefinedMeasure_Window_2,R_PredefinedMeasure_Door_1,g_gl_n_PredefinedMeasure_Window_1,g_gl_n_PredefinedMeasure_Window_2,d_Insulation_PredefinedMeasure_Roof_1,d_Insulation_PredefinedMeasure_Roof_2,d_Insulation_PredefinedMeasure_Wall_1,d_Insulation_PredefinedMeasure_Wall_2,d_Insulation_PredefinedMeasure_Wall_3,d_Insulation_PredefinedMeasure_Floor_1,d_Insulation_PredefinedMeasure_Floor_2,d_Insulation_Input_Measure_Roof_1,d_Insulation_Input_Measure_Roof_2,d_Insulation_Input_Measure_Wall_1,d_Insulation_Input_Measure_Wall_2,d_Insulation_Input_Measure_Wall_3,d_Insulation_Input_Measure_Floor_1,d_Insulation_Input_Measure_Floor_2,Code_MeasureType_Roof_1_val_data,Code_MeasureType_Roof_1,Code_MeasureType_Roof_2_val_data,Code_MeasureType_Roof_2,Code_MeasureType_Wall_1_val_data,Code_MeasureType_Wall_1,Code_MeasureType_Wall_2_val_data,Code_MeasureType_Wall_2,Code_MeasureType_Wall_3_val_data,Code_MeasureType_Wall_3,Code_MeasureType_Floor_1_val_data,Code_MeasureType_Floor_1,Code_MeasureType_Floor_2_val_data,Code_MeasureType_Floor_2,Code_MeasureType_Window_1_val_data,Code_MeasureType_Window_1,Code_MeasureType_Window_2_val_data,Code_MeasureType_Window_2,Code_MeasureType_Door_1_val_data,Code_MeasureType_Door_1,f_Measure_Roof_1,f_Measure_Roof_2,f_Measure_Wall_1,f_Measure_Wall_2,f_Measure_Wall_3,f_Measure_Floor_1,f_Measure_Floor_2,f_Measure_Window_1,f_Measure_Window_2,f_Measure_Door_1,Code_ClimateRegion,Name_ClimateRegion,HeatingDays,Theta_e_Base,Theta_e,I_Sol_Hor,I_Sol_East,I_Sol_South,I_Sol_West,I_Sol_North,Code_BoundaryCond,theta_i,F_red_htr1,F_red_htr4,n_air_use,h_room,phi_int,q_w_nd,F_sh_hor,F_sh_vert,F_f,F_w,c_m
16,BE.N.MFH.01.Gen.ReEx.001.002,0,0,,2011-08-22,Typology,BE,2,Refurbishment,BE.N.MFH.01.Gen.ReEx.001,Energy upgrade towards EPBD regulations for new build in 2014,Energetische renovatie conform EPB 2010 eisen,BE.N.MFH.01.Gen,ReEx,MFH,BE.01,0,1945,Apartment,5166,1242,1242,0,0,0,0,12,6,,FR,,C,,N,,B_N2,0,0,0,0,0,0,,0,,0,0,215,0,292.5192,0,0,215,0,385.9448,0,4.2,0,137.9448,80,168,0,,Manual,1,0.8,1.25,0.9,1.3,0.67,1.5,Medium,Medium,Medium,BE.Roof.ReEx.01.03,0,BE.Wall.ReEx.01.02,0,0,BE.Floor.ReEx.01.02,0,BE.Window.ReEx.01.01,0,BE.Door.ReEx.01.01,,,,,,,,0.1,0.1,0.2,3.5,0,2.2,0,0,0.85,0,5,0,4,0.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,1,0,1,0,0,0.5,0,BE.Roof.Insulation12cm.01,0,BE.Wall.Insulation8cm.01,0,0,BE.Floor.Insulation8cm.01,0,BE.Window.2p-LowE-arg.01,0,0,3,0,2.857143,0,0,2.857143,0,0.5,0,0,0.6,0,0.12,0,0.08,0,0,0.08,0,0,0,0,0,0,0,0,,Add,,0,,Add,,0,,0,,Add,,0,,Replace,,0,,0,1,1,1,1,1,1,1,1,1,1,BE.N,national / whole country,210,12,6.2,336,202,340,202,110,EU.MUH,20,0.95,0.85,0.4,2.5,3,15,0.8,0.6,0.3,0.9,45
17,BE.N.MFH.01.Gen.ReEx.001.003,0,0,,2014-01-09,Typology,BE,3,Refurbishment,BE.N.MFH.01.Gen.ReEx.001,Energy upgrade towards low energy standard,Energetische renovatie tot lage energieniveau,BE.N.MFH.01.Gen,ReEx,MFH,BE.01,0,1945,Apartment,5166,1242,1242,0,0,0,0,12,6,,FR,,C,,N,,B_N2,0,0,0,0,0,0,,0,,0,0,215,0,292.5192,0,0,215,0,385.9448,0,4.2,0,137.9448,80,168,0,,Manual,1,0.8,1.25,0.9,1.3,0.67,1.5,Medium,Low,Low,BE.Roof.ReEx.01.03,0,BE.Wall.ReEx.01.02,0,0,BE.Floor.ReEx.01.02,0,BE.Window.ReEx.01.01,0,BE.Door.ReEx.01.01,,,,,,,,0.1,0.05,0.1,3.5,0,2.2,0,0,0.85,0,5,0,4,0.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,1,0,1,0,0,0.5,0,BE.Roof.Insulation26cm.01,0,BE.Wall.Insulation14cm.01,0,0,BE.Floor.Insulation12cm.01,0,BE.Window.2p-LowE-argInsulatedFrame.01,0,0,6.5,0,5,0,0,4.285714,0,0.625,0,0,0.5,0,0.26,0,0.14,0,0,0.12,0,0,0,0,0,0,0,0,,Add,,0,,Add,,0,,0,,Add,,0,,Replace,,0,,0,1,1,1,1,1,1,1,1,1,1,BE.N,national / whole country,210,12,6.2,336,202,340,202,110,EU.MUH,20,0.95,0.85,0.4,2.5,3,15,0.8,0.6,0.3,0.9,45
18,BE.N.MFH.01.Small.ReEx.001.001,0,0,,2011-08-22,Typology,BE,1,Refurbishment,BE.N.MFH.01.Small.ReEx.001,Existing condition,Huidige staat,BE.N.MFH.01.Small,ReEx,MFH,BE.01,0,1945,Apartment,1716,495,495,0,0,0,0,6,3,,FR,,C,,N,,B_N2,0,0,0,0,0,0,,0,,0,0,165,0,114,0,0,165,0,110,0,3.68,0,55.2,0,55.2,0,,Manual,1,0.8,1.25,0.9,1.3,0.67,1.5,Medium,0,High,BE.Roof.ReEx.01.03,0,BE.Wall.ReEx.01.02,0,0,BE.Floor.ReEx.01.02,0,BE.Window.ReEx.01.01,0,BE.Door.ReEx.01.01,,,,,,,,0.1,0,0.4,3.5,0,2.2,0,0,0.85,0,5,0,4,0.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,1,0,1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,1,1,1,1,1,1,1,1,1,1,BE.N,national / whole country,210,12,6.2,336,202,340,202,110,EU.MUH,20,0.95,0.85,0.4,2.5,3,15,0.8,0.6,0.3,0.9,45
19,BE.N.MFH.01.Small.ReEx.001.002,0,0,,2011-08-22,Typology,BE,2,Refurbishment,BE.N.MFH.01.Small.ReEx.001,Energy upgrade towards EPBD regulations for new build in 2013,Energetische renovatie conform EPB 2010 eisen,BE.N.MFH.01.Small,ReEx,MFH,BE.01,0,1945,Apartment,1716,495,495,0,0,0,0,6,3,,FR,,C,,N,,B_N2,0,0,0,0,0,0,,0,,0,0,165,0,114,0,0,165,0,110,0,3.68,0,55.2,0,55.2,0,,Manual,1,0.8,1.25,0.9,1.3,0.67,1.5,Medium,Medium,Medium,BE.Roof.ReEx.01.03,0,BE.Wall.ReEx.01.02,0,0,BE.Floor.ReEx.01.02,0,BE.Window.ReEx.01.01,0,BE.Door.ReEx.01.01,,,,,,,,0.1,0.1,0.2,3.5,0,2.2,0,0,0.85,0,5,0,4,0.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,1,0,1,0,0,0.5,0,BE.Roof.Insulation12cm.01,0,BE.Wall.Insulation8cm.01,0,0,BE.Floor.Insulation8cm.01,0,BE.Window.2p-LowE-arg.01,0,0,3,0,2.857143,0,0,2.857143,0,0.5,0,0,0.6,0,0.12,0,0.08,0,0,0.08,0,0,0,0,0,0,0,0,,Add,,0,,Add,,0,,0,,Add,,0,,Replace,,0,,0,1,1,1,1,1,1,1,1,1,1,BE.N,national / whole country,210,12,6.2,336,202,340,202,110,EU.MUH,20,0.95,0.85,0.4,2.5,3,15,0.8,0.6,0.3,0.9,45
20,BE.N.MFH.01.Small.ReEx.001.003,0,0,,2014-01-09,Typology,BE,3,Refurbishment,BE.N.MFH.01.Small.ReEx.001,Energy upgrade towards low energy standard,Energetische renovatie tot lage energieniveau,BE.N.MFH.01.Small,ReEx,MFH,BE.01,0,1945,Apartment,1716,495,495,0,0,0,0,6,3,,FR,,C,,N,,B_N2,0,0,0,0,0,0,,0,,0,0,165,0,114,0,0,165,0,110,0,3.68,0,55.2,0,55.2,0,,Manual,1,0.8,1.25,0.9,1.3,0.67,1.5,Medium,Low,Low,BE.Roof.ReEx.01.03,0,BE.Wall.ReEx.01.02,0,0,BE.Floor.ReEx.01.02,0,BE.Window.ReEx.01.01,0,BE.Door.ReEx.01.01,,,,,,,,0.1,0.05,0.1,3.5,0,2.2,0,0,0.85,0,5,0,4,0.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,1,0,1,0,0,0.5,0,BE.Roof.Insulation26cm.01,0,BE.Wall.Insulation14cm.01,0,0,BE.Floor.Insulation12cm.01,0,BE.Window.2p-LowE-argInsulatedFrame.01,0,0,6.5,0,5,0,0,4.285714,0,0.625,0,0,0.5,0,0.26,0,0.14,0,0,0.12,0,0,0,0,0,0,0,0,,Add,,0,,Add,,0,,0,,Add,,0,,Replace,,0,,0,1,1,1,1,1,1,1,1,1,1,BE.N,national / whole country,210,12,6.2,336,202,340,202,110,EU.MUH,20,0.95,0.85,0.4,2.5,3,15,0.8,0.6,0.3,0.9,45
21,BE.N.MFH.02.Gen.ReEx.001.001,0,0,,2011-08-22,Typology,BE,1,Refurbishment,BE.N.MFH.02.Gen.ReEx.001,Existing condition,Huidige staat,BE.N.MFH.02.Gen,ReEx,MFH,BE.02,1946,1970,Apartment,7335,2480,2480,0,0,0,0,24,4,,FR,,C,,N,,B_Alone,0,0,0,0,0,0,,0,,0,0,706.8,0,704.16,0,0,620.4,0,1551.84,0,0,0,343.92,0,1207.92,0,,Manual,1,0.8,1.25,0.9,1.3,0.67,1.5,Medium,0,High,BE.Roof.ReEx.01.03,0,BE.Wall.ReEx.01.03,0,0,BE.Floor.ReEx.02.01,0,BE.Window.ReEx.01.01,0,BE.Door.ReEx.01.01,,,,,,,,0.1,0,0.4,3.5,0,1.7,0,0,0.85,0,5,0,4,0.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,1,0,1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,1,1,1,1,1,1,1,1,1,1,BE.N,national / whole country,210,12,6.2,336,202,340,202,110,EU.MUH,20,0.95,0.85,0.4,2.5,3,15,0.8,0.6,0.3,0.9,45
22,BE.N.MFH.02.Gen.ReEx.001.002,0,0,,2011-08-22,Typology,BE,2,Refurbishment,BE.N.MFH.02.Gen.ReEx.001,Energy upgrade towards EPBD regulations for new build in 2019,Energetische renovatie conform EPB 2010 eisen,BE.N.MFH.02.Gen,ReEx,MFH,BE.02,1946,1970,Apartment,7335,2480,2480,0,0,0,0,24,4,,FR,,C,,N,,B_Alone,0,0,0,0,0,0,,0,,0,0,706.8,0,704.16,0,0,620.4,0,1551.84,0,0,0,343.92,0,1207.92,0,,Manual,1,0.8,1.25,0.9,1.3,0.67,1.5,Medium,Medium,Medium,BE.Roof.ReEx.01.03,0,BE.Wall.ReEx.01.03,0,0,BE.Floor.ReEx.02.01,0,BE.Window.ReEx.01.01,0,BE.Door.ReEx.01.01,,,,,,,,0.1,0.1,0.2,3.5,0,1.7,0,0,0.85,0,5,0,4,0.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,1,0,1,0,0,0.5,0,BE.Roof.Insulation12cm.01,0,BE.Wall.Insulation8cm.01,0,0,BE.Floor.Insulation8cm.01,0,BE.Window.2p-LowE-arg.01,0,0,3,0,2.857143,0,0,2.857143,0,0.5,0,0,0.6,0,0.12,0,0.08,0,0,0.08,0,0,0,0,0,0,0,0,,Add,,0,,Add,,0,,0,,Add,,0,,Replace,,0,,0,1,1,1,1,1,1,1,1,1,1,BE.N,national / whole country,210,12,6.2,336,202,340,202,110,EU.MUH,20,0.95,0.85,0.4,2.5,3,15,0.8,0.6,0.3,0.9,45
23,BE.N.MFH.02.Gen.ReEx.001.003,0,0,,2014-01-09,Typology,BE,3,Refurbishment,BE.N.MFH.02.Gen.ReEx.001,Energy upgrade towards low energy standard,Energetische renovatie tot lage energieniveau,BE.N.MFH.02.Gen,ReEx,MFH,BE.02,1946,1970,Apartment,7335,2480,2480,0,0,0,0,24,4,,FR,,C,,N,,B_Alone,0,0,0,0,0,0,,0,,0,0,706.8,0,704.16,0,0,620.4,0,1551.84,0,0,0,343.92,0,1207.92,0,,Manual,1,0.8,1.25,0.9,1.3,0.67,1.5,Medium,Low,Low,BE.Roof.ReEx.01.03,0,BE.Wall.ReEx.01.03,0,0,BE.Floor.ReEx.02.01,0,BE.Window.ReEx.01.01,0,BE.Door.ReEx.01.01,,,,,,,,0.1,0.05,0.1,3.5,0,1.7,0,0,0.85,0,5,0,4,0.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,1,0,1,0,0,0.5,0,BE.Roof.Insulation26cm.01,0,BE.Wall.Insulation14cm.01,0,0,BE.Floor.Insulation12cm.01,0,BE.Window.2p-LowE-argInsulatedFrame.01,0,0,6.5,0,5,0,0,4.285714,0,0.625,0,0,0.5,0,0.26,0,0.14,0,0,0.12,0,0,0,0,0,0,0,0,,Add,,0,,Add,,0,,0,,Add,,0,,Replace,,0,,0,1,1,1,1,1,1,1,1,1,1,BE.N,national / whole country,210,12,6.2,336,202,340,202,110,EU.MUH,20,0.95,0.85,0.4,2.5,3,15,0.8,0.6,0.3,0.9,45
24,BE.N.MFH.02.Small.ReEx.001.001,0,0,,2011-08-22,Typology,BE,1,Refurbishment,BE.N.MFH.02.Small.ReEx.001,Existing condition,Huidige staat,BE.N.MFH.02.Small,ReEx,MFH,BE.02,1946,1970,Apartment,780,242,242,0,0,0,0,3,3,,FR,,C,,N,,B_N2,0,0,0,0,0,0,,0,,0,0,78,0,98.74,0,0,80.8,0,46.04,0,3.22,0,0,23.04,0,23,,Manual,1,0.8,1.25,0.9,1.3,0.67,1.5,Medium,0,High,BE.Roof.ReEx.01.03,0,BE.Wall.ReEx.01.03,0,0,BE.Floor.ReEx.02.01,0,BE.Window.ReEx.01.01,0,BE.Door.ReEx.01.01,,,,,,,,0.1,0,0.4,3.5,0,1.7,0,0,0.85,0,5,0,4,0.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,1,0,1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,1,1,1,1,1,1,1,1,1,1,BE.N,national / whole country,210,12,6.2,336,202,340,202,110,EU.MUH,20,0.95,0.85,0.4,2.5,3,15,0.8,0.6,0.3,0.9,45
25,BE.N.MFH.02.Small.ReEx.001.002,0,0,,2011-08-22,Typology,BE,2,Refurbishment,BE.N.MFH.02.Small.ReEx.001,Energy upgrade towards EPBD regulations for new build in 2018,Energetische renovatie conform EPB 2010 eisen,BE.N.MFH.02.Small,ReEx,MFH,BE.02,1946,1970,Apartment,780,242,242,0,0,0,0,3,3,,FR,,C,,N,,B_N2,0,0,0,0,0,0,,0,,0,0,78,0,98.74,0,0,80.8,0,46.04,0,3.22,0,0,23.04,0,23,,Manual,1,0.8,1.25,0.9,1.3,0.67,1.5,Medium,Medium,Medium,BE.Roof.ReEx.01.03,0,BE.Wall.ReEx.01.03,0,0,BE.Floor.ReEx.02.01,0,BE.Window.ReEx.01.01,0,BE.Door.ReEx.01.01,,,,,,,,0.1,0.1,0.2,3.5,0,1.7,0,0,0.85,0,5,0,4,0.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,1,0,1,0,0,0.5,0,BE.Roof.Insulation12cm.01,0,BE.Wall.Insulation8cm.01,0,0,BE.Floor.Insulation8cm.01,0,BE.Window.2p-LowE-arg.01,0,0,3,0,2.857143,0,0,2.857143,0,0.5,0,0,0.6,0,0.12,0,0.08,0,0,0.08,0,0,0,0,0,0,0,0,,Add,,0,,Add,,0,,0,,Add,,0,,Replace,,0,,0,1,1,1,1,1,1,1,1,1,1,BE.N,national / whole country,210,12,6.2,336,202,340,202,110,EU.MUH,20,0.95,0.85,0.4,2.5,3,15,0.8,0.6,0.3,0.9,45
26,BE.N.MFH.02.Small.ReEx.001.003,0,0,,2014-01-09,Typology,BE,3,Refurbishment,BE.N.MFH.02.Small.ReEx.001,Energy upgrade towards low energy standard,Energetische renovatie tot lage energieniveau,BE.N.MFH.02.Small,ReEx,MFH,BE.02,1946,1970,Apartment,780,242,242,0,0,0,0,3,3,,FR,,C,,N,,B_N2,0,0,0,0,0,0,,0,,0,0,78,0,98.74,0,0,80.8,0,46.04,0,3.22,0,0,23.04,0,23,,Manual,1,0.8,1.25,0.9,1.3,0.67,1.5,Medium,Low,Low,BE.Roof.ReEx.01.03,0,BE.Wall.ReEx.01.03,0,0,BE.Floor.ReEx.02.01,0,BE.Window.ReEx.01.01,0,BE.Door.ReEx.01.01,,,,,,,,0.1,0.05,0.1,3.5,0,1.7,0,0,0.85,0,5,0,4,0.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,1,0,1,0,0,0.5,0,BE.Roof.Insulation26cm.01,0,BE.Wall.Insulation14cm.01,0,0,BE.Floor.Insulation12cm.01,0,BE.Window.2p-LowE-argInsulatedFrame.01,0,0,6.5,0,5,0,0,4.285714,0,0.625,0,0,0.5,0,0.26,0,0.14,0,0,0.12,0,0,0,0,0,0,0,0,,Add,,0,,Add,,0,,0,,Add,,0,,Replace,,0,,0,1,1,1,1,1,1,1,1,1,1,BE.N,national / whole country,210,12,6.2,336,202,340,202,110,EU.MUH,20,0.95,0.85,0.4,2.5,3,15,0.8,0.6,0.3,0.9,45
27,BE.N.MFH.03.Gen.ReEx.001.001,0,0,,2011-08-22,Typology,BE,1,Refurbishment,BE.N.MFH.03.Gen.ReEx.001,Existing condition,Huidige staat,BE.N.MFH.03.Gen,ReEx,MFH,BE.03,1971,1990,Apartment,3511,1215,1215,0,0,0,0,13,5,,FR,,C,,N,,B_N1,0,0,0,0,0,0,,0,,0,0,255.15,0,296.7,0,0,243,0,323,0,6,0,74.285,29.75,0,219.035,,Manual,1,0.8,1.25,0.9,1.3,0.67,1.5,Medium,0,High,BE.Roof.ReEx.03.04,0,BE.Wall.ReEx.03.02,0,0,BE.Floor.ReEx.03.01,0,BE.Window.ReEx.03.02,0,BE.Door.ReEx.01.01,,,,,,,,0.1,0,0.4,0.85,0,1,0,0,0.85,0,4.3,0,4,0.75,0,0.04,0,0.02,0,0,0.02,0,0,0,0,0,0,0.3,0,1,0,1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,1,1,1,1,1,1,1,1,1,1,BE.N,national / whole country,210,12,6.2,336,202,340,202,110,EU.MUH,20,0.95,0.85,0.4,2.5,3,15,0.8,0.6,0.3,0.9,45
28,BE.N.MFH.03.Gen.ReEx.001.002,0,0,,2011-08-22,Typology,BE,2,Refurbishment,BE.N.MFH.03.Gen.ReEx.001,Energy upgrade towards EPBD regulations for new build in 2025,Energetische renovatie conform EPB 2010 eisen,BE.N.MFH.03.Gen,ReEx,MFH,BE.03,1971,1990,Apartment,3511,1215,1215,0,0,0,0,13,5,,FR,,C,,N,,B_N1,0,0,0,0,0,0,,0,,0,0,255.15,0,296.7,0,0,243,0,323,0,6,0,74.285,29.75,0,219.035,,Manual,1,0.8,1.25,0.9,1.3,0.67,1.5,Medium,Medium,Medium,BE.Roof.ReEx.03.04,0,BE.Wall.ReEx.03.02,0,0,BE.Floor.ReEx.03.01,0,BE.Window.ReEx.03.02,0,BE.Door.ReEx.01.01,,,,,,,,0.1,0.1,0.2,0.85,0,1,0,0,0.85,0,4.3,0,4,0.75,0,0.04,0,0.02,0,0,0.02,0,0,0,0,0,0,0.3,0,1,0,1,0,0,0.5,0,BE.Roof.Insulation8cm.01,0,BE.Wall.Insulation6cm.01,0,0,BE.Floor.Insulation06cm.01,0,BE.Window.2p-LowE-arg.01,0,0,2,0,2.142857,0,0,2.142857,0,0.5,0,0,0.6,0,0.08,0,0.06,0,0,0.06,0,0,0,0,0,0,0,0,,Add,,0,,Add,,0,,0,,Add,,0,,Replace,,0,,0,1,1,1,1,1,1,1,1,1,1,BE.N,national / whole country,210,12,6.2,336,202,340,202,110,EU.MUH,20,0.95,0.85,0.4,2.5,3,15,0.8,0.6,0.3,0.9,45
29,BE.N.MFH.03.Gen.ReEx.001.003,0,0,,2014-01-09,Typology,BE,3,Refurbishment,BE.N.MFH.03.Gen.ReEx.001,Energy upgrade towards low energy standard,Energetische renovatie tot lage energieniveau,BE.N.MFH.03.Gen,ReEx,MFH,BE.03,1971,1990,Apartment,3511,1215,1215,0,0,0,0,13,5,,FR,,C,,N,,B_N1,0,0,0,0,0,0,,0,,0,0,255.15,0,296.7,0,0,243,0,323,0,6,0,74.285,29.75,0,219.035,,Manual,1,0.8,1.25,0.9,1.3,0.67,1.5,Medium,Low,Low,BE.Roof.ReEx.03.04,0,BE.Wall.ReEx.03.02,0,0,BE.Floor.ReEx.03.01,0,BE.Window.ReEx.03.02,0,BE.Door.ReEx.01.01,,,,,,,,0.1,0.05,0.1,0.85,0,1,0,0,0.85,0,4.3,0,4,0.75,0,0.04,0,0.02,0,0,0.02,0,0,0,0,0,0,0.3,0,1,0,1,0,0,0.5,0,BE.Roof.Insulation22cm.01,0,BE.Wall.Insulation12cm.01,0,0,BE.Floor.Insulation12cm.01,0,BE.Window.2p-LowE-argInsulatedFrame.01,0,0,5.5,0,4.285714,0,0,4.285714,0,0.625,0,0,0.5,0,0.22,0,0.12,0,0,0.12,0,0,0,0,0,0,0,0,,Add,,0,,Add,,0,,0,,Add,,0,,Replace,,0,,0,1,1,1,1,1,1,1,1,1,1,BE.N,national / whole country,210,12,6.2,336,202,340,202,110,EU.MUH,20,0.95,0.85,0.4,2.5,3,15,0.8,0.6,0.3,0.9,45
30,BE.N.MFH.03.Small.ReEx.001.001,0,0,,2011-08-22,Typology,BE,1,Refurbishment,BE.N.MFH.03.Small.ReEx.001,Existing condition,Huidige staat,BE.N.MFH.03.Small,ReEx,MFH,BE.03,1971,1990,Apartment,1160,331.5,331.5,0,0,0,0,4,3,,FR,,C,,N,,B_N1,0,0,0,0,0,0,,0,,0,0,128,0,156.7475,0,0,110.5,0,86.3625,0,3.64,0,47.775,38.5875,0,0,,Manual,1,0.8,1.25,0.9,1.3,0.67,1.5,Medium,0,High,BE.Roof.ReEx.03.04,0,BE.Wall.ReEx.03.02,0,0,BE.Floor.ReEx.03.01,0,BE.Window.ReEx.03.02,0,BE.Door.ReEx.01.01,,,,,,,,0.1,0,0.4,0.85,0,1,0,0,0.85,0,4.3,0,4,0.75,0,0.04,0,0.02,0,0,0.02,0,0,0,0,0,0,0.3,0,1,0,1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,1,1,1,1,1,1,1,1,1,1,BE.N,national / whole country,210,12,6.2,336,202,340,202,110,EU.MUH,20,0.95,0.85,0.4,2.5,3,15,0.8,0.6,0.3,0.9,45
